LayerID,IRIs,Space,Topic,Style,Discard,State
14,"http://sweetontology.net/matrFacility/Mine,http://sweetontology.net/matrMineral/Mineral",Global/North America,Geology,Point Symbol Method,0,2022.06.28 11:53:01
37,http://sweetontology.net/matrFacility/Mine,Global/North America/United States,Geology,Point Symbol Method,0,2022.06.28 12:01:13
38,"http://sweetontology.net/matrPlant/Plant,http://sweetontology.net/matrFacility/Mine,http://sweetontology.net/matrMineral/Mineral",Global/North America/United States,Geology,"Choloplethic Method,Point Symbol Method",0,2022.06.28 12:30:12
40,"http://sweetontology.net/matrFacility/Mine,http://sweetontology.net/matrMineral/Mineral,http://sweetontology.net/matrPlant/Plant",Global/North America/United States,Geology,Point Symbol Method,0,2022.06.28 12:39:30
51,"http://sweetontology.net/matrFacility/Mine,http://sweetontology.net/stateSystem/Natural,http://sweetontology.net/matrMineral/Mineral,http://sweetontology.net/humanCommerce/Exploration",Global/North America/United States,Geology,Area Method,0,2022.06.28 12:46:48
73,"http://sweetontology.net/humanKnowledgeDomain/Mineralogy,http://sweetontology.net/matrCompound/SiliconDioxide,http://sweetontology.net/realmGeolBasin/Basin",Global/North America/United States/California,Geology,Raw Image,0,2022.06.28 12:57:22
79,"http://sweetontology.net/matrRock/Rock,http://sweetontology.net/propTime/Age,http://sweetontology.net/humanKnowledgeDomain/Mineralogy",Global/Europe/Norway,Geology,Point Symbol Method,0,2022.06.28 16:08:14
100,"http://sweetontology.net/matrMineral/Mineral,http://sweetontology.net/matrElement/Copper,http://sweetontology.net/matrElement/Zinc,http://sweetontology.net/stateChemical/Metallic,http://sweetontology.net/stateSystem/Natural,http://sweetontology.net/humanKnowledgeDomain/Geology",Global/North America/United States,Geology,"Line Symbol Method,Area Method",0,2022.06.28 16:43:41
102,"http://sweetontology.net/matrMineral/Mineral,http://sweetontology.net/matrElement/Copper,http://sweetontology.net/matrElement/Zinc,http://sweetontology.net/stateChemical/Metallic,http://sweetontology.net/humanKnowledgeDomain/Geology,http://sweetontology.net/stateSystem/Natural",Global/North America/United States,Geology,Area Method,0,2022.06.28 16:57:27
115,"http://sweetontology.net/humanKnowledgeDomain/Geology,http://sweetontology.net/matrMineral/Mineral,http://sweetontology.net/matrSediment/Sediment,http://sweetontology.net/matrElement/Copper,http://sweetontology.net/stateChemical/Metallic,http://sweetontology.net/stateSystem/Natural",Global/North America/United States,Geology,"Line Symbol Method,Area Method",0,2022.06.28 17:05:06
117,"http://sweetontology.net/humanKnowledgeDomain/Geology,http://sweetontology.net/stateSystem/Natural,http://sweetontology.net/matrSediment/Sediment,http://sweetontology.net/matrMineral/Mineral,http://sweetontology.net/matrElement/Copper,http://sweetontology.net/matrElement/Zinc,http://sweetontology.net/stateChemical/Metallic",Global/North America/United States,Geology,Area Method,0,2022.06.28 17:08:13
119,"http://sweetontology.net/matrElement/Zinc,http://sweetontology.net/matrElement/Copper,http://sweetontology.net/matrMineral/Mineral,http://sweetontology.net/matrSediment/Sediment,http://sweetontology.net/stateChemical/Metallic,http://sweetontology.net/humanKnowledgeDomain/Geology,http://sweetontology.net/stateSystem/Natural",Global/North America/United States,Geology,Area Method,0,2022.06.28 17:08:45
164,"http://sweetontology.net/matrSediment/Soil,http://sweetontology.net/humanKnowledgeDomain/Geochemistry,http://sweetontology.net/humanKnowledgeDomain/Mineralogy,http://sweetontology.net/realmLandform/Landscape",Global/North America/United States,Geology,Point Symbol Method,0,2022.06.28 17:26:28
170,"http://sweetontology.net/matr/ChemicalSubstance,http://sweetontology.net/matrElement/Lithium,http://sweetontology.net/matrSediment/Soil,http://sweetontology.net/humanKnowledgeDomain/Mineralogy",Global/North America/United States,Geology,Choloplethic Method,0,2022.06.28 17:44:53
172,"http://sweetontology.net/matrElement/Beryllium,http://sweetontology.net/matrSediment/Soil,http://sweetontology.net/matr/ChemicalSubstance,http://sweetontology.net/humanKnowledgeDomain/Mineralogy",Global/North America/United States,Geology,Choloplethic Method,0,2022.06.28 17:44:48
174,"http://sweetontology.net/matrElement/Beryllium,http://sweetontology.net/matrSediment/Soil,http://sweetontology.net/matr/ChemicalSubstance,http://sweetontology.net/humanKnowledgeDomain/Mineralogy",Global/North America/United States,Geology,Choloplethic Method,0,2022.06.28 17:44:43
176,"http://sweetontology.net/matrElement/Sodium,http://sweetontology.net/matrSediment/Soil,http://sweetontology.net/matr/ChemicalSubstance,http://sweetontology.net/humanKnowledgeDomain/Mineralogy",Global/North America/United States,Geology,Choloplethic Method,0,2022.06.28 17:44:38
178,"http://sweetontology.net/matrElement/Magnesium,http://sweetontology.net/matrSediment/Soil,http://sweetontology.net/matr/ChemicalSubstance,http://sweetontology.net/humanKnowledgeDomain/Mineralogy",Global/North America/United States,Geology,Choloplethic Method,0,2022.06.28 17:44:33
180,"http://sweetontology.net/matrElement/Magnesium,http://sweetontology.net/matrSediment/Soil,http://sweetontology.net/matr/ChemicalSubstance,http://sweetontology.net/humanKnowledgeDomain/Mineralogy",Global/North America/United States,Geology,Choloplethic Method,0,2022.06.28 17:44:25
182,"http://sweetontology.net/matrElement/Aluminum,http://sweetontology.net/matr/ChemicalSubstance,http://sweetontology.net/matrSediment/Soil,http://sweetontology.net/humanKnowledgeDomain/Mineralogy",Global/North America/United States,Geology,Choloplethic Method,0,2022.06.28 17:44:20
184,"http://sweetontology.net/matrElement/Phosphorus,http://sweetontology.net/matrSediment/Soil,http://sweetontology.net/matr/ChemicalSubstance,http://sweetontology.net/humanKnowledgeDomain/Mineralogy",Global/North America/United States,Geology,Choloplethic Method,0,2022.06.28 17:44:13
186,"http://sweetontology.net/matrElement/Phosphorus,http://sweetontology.net/matrSediment/Soil,http://sweetontology.net/matr/ChemicalSubstance,http://sweetontology.net/humanKnowledgeDomain/Mineralogy",Global/North America/United States,Geology,Choloplethic Method,0,2022.06.28 17:43:58
188,"http://sweetontology.net/matr/ChemicalSubstance,http://sweetontology.net/matrElement/Sulfur,http://sweetontology.net/matrSediment/Soil,http://sweetontology.net/humanKnowledgeDomain/Mineralogy",Global/North America/United States,Geology,Choloplethic Method,0,2022.06.28 17:43:36
190,"http://sweetontology.net/matrElement/Potassium,http://sweetontology.net/matr/ChemicalSubstance,http://sweetontology.net/matrSediment/Soil,http://sweetontology.net/humanKnowledgeDomain/Mineralogy",Global/North America/United States,Geology,Choloplethic Method,0,2022.06.28 17:43:25
192,"http://sweetontology.net/matrElement/Potassium,http://sweetontology.net/matrSediment/Soil,http://sweetontology.net/matr/ChemicalSubstance,http://sweetontology.net/humanKnowledgeDomain/Mineralogy",Global/North America/United States,Geology,Choloplethic Method,0,2022.06.28 17:43:18
194,"http://sweetontology.net/matrElement/Calcium,http://sweetontology.net/matrSediment/Soil,http://sweetontology.net/matr/ChemicalSubstance,http://sweetontology.net/humanKnowledgeDomain/Mineralogy",Global/North America/United States,Geology,Choloplethic Method,0,2022.06.28 17:42:52
196,"http://sweetontology.net/humanKnowledgeDomain/Mineralogy,http://sweetontology.net/matr/ChemicalSubstance,http://sweetontology.net/matrSediment/Soil",Global/North America/United States,Geology,Choloplethic Method,0,2022.06.28 17:42:40
198,"http://sweetontology.net/matr/ChemicalSubstance,http://sweetontology.net/matrSediment/Soil,http://sweetontology.net/humanKnowledgeDomain/Mineralogy",Global/North America/United States,Geology,Choloplethic Method,0,2022.06.28 17:42:31
200,"http://sweetontology.net/humanKnowledgeDomain/Mineralogy,http://sweetontology.net/matrSediment/Soil,http://sweetontology.net/matr/ChemicalSubstance",Global/North America/United States,Geology,Choloplethic Method,0,2022.06.28 17:42:20
202,"http://sweetontology.net/matr/ChemicalSubstance,http://sweetontology.net/matrSediment/Soil,http://sweetontology.net/humanKnowledgeDomain/Mineralogy",Global/North America/United States,Geology,Choloplethic Method,0,2022.06.28 17:42:11
204,"http://sweetontology.net/matr/ChemicalSubstance,http://sweetontology.net/matrSediment/Soil,http://sweetontology.net/humanKnowledgeDomain/Mineralogy",Global/North America/United States,Geology,Choloplethic Method,0,2022.06.28 17:46:41
206,"http://sweetontology.net/matrElement/Chromium,http://sweetontology.net/matr/ChemicalSubstance,http://sweetontology.net/matrSediment/Soil,http://sweetontology.net/humanKnowledgeDomain/Mineralogy",Global/North America/United States,Geology,Choloplethic Method,0,2022.06.28 17:46:56
208,"http://sweetontology.net/matrElement/Manganese,http://sweetontology.net/matr/ChemicalSubstance,http://sweetontology.net/matrSediment/Soil,http://sweetontology.net/humanKnowledgeDomain/Mineralogy",Global/North America/United States,Geology,Choloplethic Method,0,2022.06.28 17:47:30
210,"http://sweetontology.net/matrElement/Manganese,http://sweetontology.net/matr/ChemicalSubstance,http://sweetontology.net/matrSediment/Soil,http://sweetontology.net/humanKnowledgeDomain/Mineralogy",Global/North America/United States,Geology,Choloplethic Method,0,2022.06.28 17:47:43
212,"http://sweetontology.net/matrElement/Iron,http://sweetontology.net/matr/ChemicalSubstance,http://sweetontology.net/matrSediment/Soil",Global/North America/United States,Geology,Choloplethic Method,0,2022.06.28 17:47:56
214,"http://sweetontology.net/matr/ChemicalSubstance,http://sweetontology.net/matrSediment/Soil,http://sweetontology.net/humanKnowledgeDomain/Mineralogy",Global/North America/United States,Geology,Choloplethic Method,0,2022.06.28 17:48:08
216,"http://sweetontology.net/matr/ChemicalSubstance,http://sweetontology.net/matrSediment/Soil,http://sweetontology.net/humanKnowledgeDomain/Mineralogy",Global/North America/United States,Geology,Choloplethic Method,0,2022.06.28 17:48:26
218,"http://sweetontology.net/matr/ChemicalSubstance,http://sweetontology.net/matrSediment/Soil,http://sweetontology.net/humanKnowledgeDomain/Mineralogy",Global/North America/United States,Geology,Choloplethic Method,0,2022.06.28 17:48:50
220,"http://sweetontology.net/matrElement/Copper,http://sweetontology.net/matr/ChemicalSubstance,http://sweetontology.net/matrSediment/Soil,http://sweetontology.net/humanKnowledgeDomain/Mineralogy",Global/North America/United States,Geology,Choloplethic Method,0,2022.06.28 17:49:08
222,"http://sweetontology.net/matrElement/Copper,http://sweetontology.net/matr/ChemicalSubstance,http://sweetontology.net/matrSediment/Soil,http://sweetontology.net/humanKnowledgeDomain/Mineralogy",Global/North America/United States,Geology,Choloplethic Method,0,2022.06.28 17:49:23
224,"http://sweetontology.net/matrElement/Zinc,http://sweetontology.net/matr/ChemicalSubstance,http://sweetontology.net/matrSediment/Soil,http://sweetontology.net/humanKnowledgeDomain/Mineralogy",Global/North America/United States,Geology,Choloplethic Method,0,2022.06.28 17:49:39
226,"http://sweetontology.net/matr/ChemicalSubstance,http://sweetontology.net/matrSediment/Soil,http://sweetontology.net/humanKnowledgeDomain/Mineralogy",Global/North America/United States,Geology,Choloplethic Method,0,2022.06.28 17:49:55
228,"http://sweetontology.net/matr/ChemicalSubstance,http://sweetontology.net/matrSediment/Soil,http://sweetontology.net/humanKnowledgeDomain/Mineralogy",Global/North America/United States,Geology,Choloplethic Method,0,2022.06.28 17:50:06
230,"http://sweetontology.net/matrElement/Arsenic,http://sweetontology.net/matr/ChemicalSubstance,http://sweetontology.net/matrSediment/Soil,http://sweetontology.net/humanKnowledgeDomain/Mineralogy",Global/North America/United States,Geology,Choloplethic Method,0,2022.06.28 17:50:14
232,"http://sweetontology.net/matrElement/Selenium,http://sweetontology.net/matr/ChemicalSubstance,http://sweetontology.net/matrSediment/Soil,http://sweetontology.net/humanKnowledgeDomain/Mineralogy",Global/North America/United States,Geology,Choloplethic Method,0,2022.06.28 17:50:29
234,"http://sweetontology.net/matrElement/Selenium,http://sweetontology.net/matr/ChemicalSubstance,http://sweetontology.net/matrSediment/Soil,http://sweetontology.net/humanKnowledgeDomain/Mineralogy",Global/North America/United States,Geology,Choloplethic Method,0,2022.06.28 17:52:17
