Content,Space,Topic,Mapping
"http://sweetontology.net/matrFacility/Mine,http://sweetontology.net/matrMineral/Mineral",North America,Geology,Point Symbol Method
http://sweetontology.net/matrFacility/Mine,United States,Geology,Point Symbol Method
"http://sweetontology.net/matrPlant/Plant,http://sweetontology.net/matrFacility/Mine,http://sweetontology.net/matrMineral/Mineral",United States,Geology,"Choloplethic Method,Point Symbol Method"
"http://sweetontology.net/matrFacility/Mine,http://sweetontology.net/matrMineral/Mineral,http://sweetontology.net/matrPlant/Plant",United States,Geology,Point Symbol Method
"http://sweetontology.net/matrFacility/Mine,http://sweetontology.net/stateSystem/Natural,http://sweetontology.net/matrMineral/Mineral,http://sweetontology.net/humanCommerce/Exploration",United States,Geology,Area Method
"http://sweetontology.net/humanKnowledgeDomain/Mineralogy,http://sweetontology.net/matrCompound/SiliconDioxide,http://sweetontology.net/realmGeolBasin/Basin",California,Geology,Raw Image
"http://sweetontology.net/matrRock/Rock,http://sweetontology.net/propTime/Age,http://sweetontology.net/humanKnowledgeDomain/Mineralogy",Norway,Geology,Point Symbol Method
"http://sweetontology.net/matrMineral/Mineral,http://sweetontology.net/matrElement/Copper,http://sweetontology.net/matrElement/Zinc,http://sweetontology.net/stateChemical/Metallic,http://sweetontology.net/stateSystem/Natural,http://sweetontology.net/humanKnowledgeDomain/Geology",United States,Geology,"Line Symbol Method,Area Method"
"http://sweetontology.net/matrMineral/Mineral,http://sweetontology.net/matrElement/Copper,http://sweetontology.net/matrElement/Zinc,http://sweetontology.net/stateChemical/Metallic,http://sweetontology.net/humanKnowledgeDomain/Geology,http://sweetontology.net/stateSystem/Natural",United States,Geology,Area Method
"http://sweetontology.net/humanKnowledgeDomain/Geology,http://sweetontology.net/matrMineral/Mineral,http://sweetontology.net/matrSediment/Sediment,http://sweetontology.net/matrElement/Copper,http://sweetontology.net/stateChemical/Metallic,http://sweetontology.net/stateSystem/Natural",United States,Geology,"Line Symbol Method,Area Method"
"http://sweetontology.net/humanKnowledgeDomain/Geology,http://sweetontology.net/stateSystem/Natural,http://sweetontology.net/matrSediment/Sediment,http://sweetontology.net/matrMineral/Mineral,http://sweetontology.net/matrElement/Copper,http://sweetontology.net/matrElement/Zinc,http://sweetontology.net/stateChemical/Metallic",United States,Geology,Area Method
"http://sweetontology.net/matrElement/Zinc,http://sweetontology.net/matrElement/Copper,http://sweetontology.net/matrMineral/Mineral,http://sweetontology.net/matrSediment/Sediment,http://sweetontology.net/stateChemical/Metallic,http://sweetontology.net/humanKnowledgeDomain/Geology,http://sweetontology.net/stateSystem/Natural",United States,Geology,Area Method
"http://sweetontology.net/matrSediment/Soil,http://sweetontology.net/humanKnowledgeDomain/Geochemistry,http://sweetontology.net/humanKnowledgeDomain/Mineralogy,http://sweetontology.net/realmLandform/Landscape",United States,Geology,Point Symbol Method
"http://sweetontology.net/matrElement/Lithium,http://sweetontology.net/matrSediment/Soil,http://sweetontology.net/humanKnowledgeDomain/Mineralogy",United States,Geology,Choloplethic Method
"http://sweetontology.net/matrElement/Beryllium,http://sweetontology.net/matrSediment/Soil,http://sweetontology.net/humanKnowledgeDomain/Mineralogy",United States,Geology,Choloplethic Method
"http://sweetontology.net/matrElement/Beryllium,http://sweetontology.net/matrSediment/Soil,http://sweetontology.net/humanKnowledgeDomain/Mineralogy",United States,Geology,Choloplethic Method
"http://sweetontology.net/matrElement/Sodium,http://sweetontology.net/matrSediment/Soil,http://sweetontology.net/humanKnowledgeDomain/Mineralogy",United States,Geology,Choloplethic Method
"http://sweetontology.net/matrElement/Magnesium,http://sweetontology.net/matrSediment/Soil,http://sweetontology.net/humanKnowledgeDomain/Mineralogy",United States,Geology,Choloplethic Method
"http://sweetontology.net/matrElement/Magnesium,http://sweetontology.net/matrSediment/Soil,http://sweetontology.net/humanKnowledgeDomain/Mineralogy",United States,Geology,Choloplethic Method
"http://sweetontology.net/matrElement/Aluminum,http://sweetontology.net/matrSediment/Soil,http://sweetontology.net/humanKnowledgeDomain/Mineralogy",United States,Geology,Choloplethic Method
"http://sweetontology.net/matrElement/Phosphorus,http://sweetontology.net/matrSediment/Soil,http://sweetontology.net/humanKnowledgeDomain/Mineralogy",United States,Geology,Choloplethic Method
"http://sweetontology.net/matrElement/Phosphorus,http://sweetontology.net/matrSediment/Soil,http://sweetontology.net/humanKnowledgeDomain/Mineralogy",United States,Geology,Choloplethic Method
"http://sweetontology.net/matrElement/Sulfur,http://sweetontology.net/matrSediment/Soil,http://sweetontology.net/humanKnowledgeDomain/Mineralogy",United States,Geology,Choloplethic Method
"http://sweetontology.net/matrElement/Potassium,http://sweetontology.net/matrSediment/Soil,http://sweetontology.net/humanKnowledgeDomain/Mineralogy",United States,Geology,Choloplethic Method
"http://sweetontology.net/matrElement/Potassium,http://sweetontology.net/matrSediment/Soil,http://sweetontology.net/humanKnowledgeDomain/Mineralogy",United States,Geology,Choloplethic Method
"http://sweetontology.net/matrElement/Calcium,http://sweetontology.net/matrSediment/Soil,http://sweetontology.net/humanKnowledgeDomain/Mineralogy",United States,Geology,Choloplethic Method
"http://sweetontology.net/humanKnowledgeDomain/Mineralogy,http://sweetontology.net/matrSediment/Soil",United States,Geology,Choloplethic Method
"http://sweetontology.net/matrSediment/Soil,http://sweetontology.net/humanKnowledgeDomain/Mineralogy",United States,Geology,Choloplethic Method
"http://sweetontology.net/humanKnowledgeDomain/Mineralogy,http://sweetontology.net/matrSediment/Soil",United States,Geology,Choloplethic Method
"http://sweetontology.net/matrSediment/Soil,http://sweetontology.net/humanKnowledgeDomain/Mineralogy",United States,Geology,Choloplethic Method
"http://sweetontology.net/matrSediment/Soil,http://sweetontology.net/humanKnowledgeDomain/Mineralogy",United States,Geology,Choloplethic Method
"http://sweetontology.net/matrElement/Chromium,http://sweetontology.net/matrSediment/Soil,http://sweetontology.net/humanKnowledgeDomain/Mineralogy",United States,Geology,Choloplethic Method
"http://sweetontology.net/matrElement/Manganese,http://sweetontology.net/matrSediment/Soil,http://sweetontology.net/humanKnowledgeDomain/Mineralogy",United States,Geology,Choloplethic Method
"http://sweetontology.net/matrElement/Manganese,http://sweetontology.net/matrSediment/Soil,http://sweetontology.net/humanKnowledgeDomain/Mineralogy",United States,Geology,Choloplethic Method
"http://sweetontology.net/matrElement/Iron,http://sweetontology.net/matrSediment/Soil",United States,Geology,Choloplethic Method
"http://sweetontology.net/matrSediment/Soil,http://sweetontology.net/humanKnowledgeDomain/Mineralogy",United States,Geology,Choloplethic Method
"http://sweetontology.net/matrSediment/Soil,http://sweetontology.net/humanKnowledgeDomain/Mineralogy",United States,Geology,Choloplethic Method
"http://sweetontology.net/matrSediment/Soil,http://sweetontology.net/humanKnowledgeDomain/Mineralogy",United States,Geology,Choloplethic Method
"http://sweetontology.net/matrElement/Copper,http://sweetontology.net/matrSediment/Soil,http://sweetontology.net/humanKnowledgeDomain/Mineralogy",United States,Geology,Choloplethic Method
"http://sweetontology.net/matrElement/Copper,http://sweetontology.net/matrSediment/Soil,http://sweetontology.net/humanKnowledgeDomain/Mineralogy",United States,Geology,Choloplethic Method
