Scene,Sindex,Num,Noise_Rate,Jaccard,LIP,MLMSSM,,,
S2,1,20,0,1,0,1,,,
S2,1,20,0.2,0.8,0.023487899,0.976512101,,,
S2,1,20,0.4,0.6,0.023487899,0.976512101,,,
S2,1,20,0.6,0.4,0.023487899,0.976512101,,,
S2,1,20,0.8,0.2,0.023487899,0.976512101,,,
S2,2,20,0,1,0.023388195,0.976611805,,,
S2,2,20,0.2,0.842105263,0.023388195,0.976611805,,,
S2,2,20,0.4,0.6,0.511694097,0.976611805,,,
S2,2,20,0.6,0.4,0.511694097,0.976611805,,,
S2,2,20,0.8,0.2,0.511694097,0.976611805,,,
S2,3,20,0,1,0.384335212,0.615664788,,,
S2,3,20,0.2,0.8,0.814287637,0.185712363,,,
S2,3,20,0.4,0.631578947,0.785273215,0.214726785,,,
S2,3,20,0.6,0.4,0.892636608,0.214726785,,,
S2,3,20,0.8,0.2,0.892636608,0.214726785,,,
S2,4,20,0,1,0.035298822,0.964701178,,,
S2,4,20,0.2,0.888888889,0.035298822,0.964701178,,,
S2,4,20,0.4,0.6,0.517649411,0.964701178,,,
S2,4,20,0.6,0.4,0.517649411,0.964701178,,,
S2,4,20,0.8,0.2,0.517649411,0.964701178,,,
S2,5,20,0,0,0.238923849,0.761076151,,,
S2,5,20,0.2,0.75,0.576372627,0.847254745,,,
S2,5,20,0.4,0.5,0.576372627,0.847254745,,,
S2,5,20,0.6,0.388888889,0.619461924,0.761076151,,,
S2,5,20,0.8,0.055555556,0.619461924,0.761076151,0.554280702,0.387964736,0.801436351
Scene,Sindex,Num,Noise_Rate,Jaccard,LIP,MLMSSM,0.70635806,0.391698056,0.914583187
S3,1,20,0,1,0.008805442,0.991194558,,,
S3,1,20,0.2,0.842105263,0.460941258,0.539058742,,,
S3,1,20,0.4,0.6,0.730470629,0.539058742,,,
S3,1,20,0.6,0.470588235,0.707487839,0.585024323,,,
S3,1,20,0.8,0.222222222,0.707487839,0.585024323,,,
S3,2,20,0,1,0.384335212,0.615664788,,,
S3,2,20,0.2,0.888888889,0.771366938,0.228633062,,,
S3,2,20,0.4,0.75,0.89787661,0.10212339,,,
S3,2,20,0.6,0.470588235,0.914494335,0.171011329,,,
S3,2,20,0.8,0.235294118,0.943775789,0.112448421,,,
S3,3,20,0,1,0,1,,,
S3,3,20,0.2,0.842105263,0.09395706,0.90604294,,,
S3,3,20,0.4,0.6,0.54697853,0.90604294,,,
S3,3,20,0.6,0.4,0.534616936,0.930766128,,,
S3,3,20,0.8,0.1875,0.275667515,0.724332485,,,
S3,4,20,0,1,0.384335212,0.615664788,,,
S3,4,20,0.2,0.842105263,0.878329298,0.121670702,,,
S3,4,20,0.4,0.666666667,0.85682251,0.14317749,,,
S3,4,20,0.6,0.533333333,0.856326305,0.143673695,,,
S3,4,20,0.8,0.210526316,0.928163153,0.143673695,,,
S3,5,20,0,1,0.01322572,0.98677428,,,
S3,5,20,0.2,0.888888889,0.164112833,0.835887167,,,
S3,5,20,0.4,0.857142857,0.247348537,0.752651463,,,
S3,5,20,0.6,0.444444444,0.582056417,0.835887167,,,
S3,5,20,0.8,0.222222222,0.582056417,0.835887167,0.646984889,0.538841533,0.574054951
Scene,Sindex,Num,Noise_Rate,Jaccard,LIP,MLMSSM,0.714623932,0.384308844,0.782103455
S4,1_2,20,0,1,0.023438047,0.976561953,,,
S4,1_2,20,0.2,0.789473684,0.023487899,0.488256051,,,
S4,1_2,20,0.4,0.666666667,0.023487899,0.488256051,,,
S4,1_2,20,0.6,0.4,0.348958698,0.976561953,,,
S4,1_2,20,0.8,0.2,0.023438047,0.976561953,,,
S4,1_3,20,0,1,0.407143819,0.592856181,,,
S4,1_3,20,0.2,0.8,0.407143819,0.592856181,,,
S4,1_3,20,0.4,0.625,0.160082419,0.41995879,,,
S4,1_3,20,0.6,0.444444444,0.439907102,0.560092898,,,
S4,1_3,20,0.8,0.2,0.626604735,0.560092898,,,
S4,1_4,20,0,0.9,0.035298822,0.482350589,,,
S4,1_4,20,0.2,0.842105263,0.02939336,0.97060664,,,
S4,1_4,20,0.4,0.631578947,0.02939336,0.97060664,,,
S4,1_4,20,0.6,0.4,0.02939336,0.97060664,,,
S4,1_4,20,0.8,0.2,0.02939336,0.97060664,,,
S4,1_5,20,0,0,0.160082419,0.41995879,,,
S4,1_5,20,0.2,0.7,0.088116577,0.911883423,,,
S4,1_5,20,0.4,0.6,0.437609225,0.843586163,,,
S4,1_5,20,0.6,0.4,0.420803916,0.868794126,,,
S4,1_5,20,0.8,0.15,0.199503134,0.800496866,,,
S4,2_3,20,0,1,0.418837916,0.581162084,,,
S4,2_3,20,0.2,0.8,0.43985725,0.56014275,,,
S4,2_3,20,0.4,0.631578947,0.418837916,0.581162084,,,
S4,2_3,20,0.6,0.571428571,0.090321608,0.454839196,,,
S4,2_3,20,0.8,0.222222222,0.418837916,0.581162084,,,
S4,2_4,20,0,1,0.029343509,0.970656491,,,
S4,2_4,20,0.2,0.842105263,0.029343509,0.970656491,,,
S4,2_4,20,0.4,0.6,0.062810215,0.937189785,,,
S4,2_4,20,0.6,0.4,0.37520681,0.937189785,,,
S4,2_4,20,0.8,0.166666667,0.07864091,0.92135909,,,
S4,2_5,20,0,0,0.090321608,0.454839196,,,
S4,2_5,20,0.2,0.666666667,0.023388195,0.488305903,,,
S4,2_5,20,0.4,0.6,0.420770681,0.868843978,,,
S4,2_5,20,0.6,0.315789474,0.164622729,0.835377271,,,
S4,2_5,20,0.8,0.2,0.443081819,0.835377271,,,
S4,3_4,20,0,1,0.45958342,0.54041658,,,
S4,3_4,20,0.2,0.842105263,0.445812564,0.554187436,,,
S4,3_4,20,0.4,0.6,0.410286019,0.589713981,,,
S4,3_4,20,0.6,0.428571429,0.133893625,0.433053187,,,
S4,3_4,20,0.8,0.235294118,0.42479323,0.57520677,,,
S4,3_5,20,0,0,0.238923849,0.380538076,,,
S4,3_5,20,0.2,0.842105263,0.407143819,0.592856181,,,
S4,3_5,20,0.4,0.578947368,0.526605743,0.473394257,,,
S4,3_5,20,0.6,0.4375,0.238923849,0.380538076,,,
