Scene,Sindex,Num,Noise_Rate,Jaccard,LIP,MLMSSM,best_argminC,best_avgConf,,,
S2,1,20,0,0.9,0.666666667,1,0.63712414,0.063469604,,,
S2,1,20,0.2,0.777777778,0.511743949,0.976512101,0.528714736,0.085153086,,,
S2,1,20,0.4,0.6,0.511743949,0.976512101,0.511372403,0.093470092,,,
S2,1,20,0.6,0.4,0.58004121,0.839917581,0.441134366,0.179125773,,,
S2,1,20,0.8,0.2,0.58004121,0.839917581,0.537860048,0.047957219,,,
S2,2,20,0,0.75,0,1,-0.861827816,0.162987295,,,
S2,2,20,0.2,1,0,1,-0.815132411,0.364585969,,,
S2,2,20,0.4,0.642857143,0.5,1,0.505850348,0.098919281,,,
S2,2,20,0.6,0.470588235,0.511694097,0.976611805,0.656384577,0.036119354,,,
S2,2,20,0.8,0.214285714,0.511694097,0.976611805,0.308008601,0.163444692,,,
S2,3,20,0,1,0,1,-0.989372464,0.96457488,,,
S2,3,20,0.2,1,0.513011135,0.486988865,-0.952811432,0.256217934,,,
S2,3,20,0.4,0.733333333,0.5,1,0.136940968,0.469154692,,,
S2,3,20,0.6,0.727272727,0.5,1,0.541486339,0.143357944,,,
S2,3,20,0.8,0.307692308,0.928163153,0.143673695,0.418651066,0.364246388,,,
S2,4,20,0,1,0.5,1,0.417933346,0.397340051,,,
S2,4,20,0.2,1,0,1,-0.743461328,0.137627539,,,
S2,4,20,0.4,1,0.5,1,0.628938115,0.062164326,,,
S2,4,20,0.6,0.571428571,0.517649411,0.964701178,0.527625335,0.226370002,,,
S2,4,20,0.8,0.266666667,0.517649411,0.964701178,0.488424727,0.275803481,,,
S2,5,20,0,1,0.619461924,0.761076151,0.441965387,0.059505164,,,
S2,5,20,0.2,0.8,0.619461924,0.761076151,0.398582553,0.193768359,,,
S2,5,20,0.4,0.6,0.74630795,0.761076151,0.525752655,0.074677434,,,
S2,5,20,0.6,0.4375,0.619461924,0.761076151,0.514726294,0.157702908,,,
S2,5,20,0.8,0.2,0.619461924,0.761076151,0.368691709,0.0614713,0.663976099,0.482970157,0.878061146
Scene,Sindex,Num,Noise_Rate,Jaccard,LIP,MLMSSM,best_argminC,best_avgConf,0.70635806,0.391698056,0.914583187
S3,1,20,0,1,0,1,-0.844959345,0.482666482,,,
S3,1,20,0.2,1,0,1,-0.871201686,0.534970456,,,
S3,1,20,0.4,0.625,0.5,1,0.566659556,0.09691144,,,
S3,1,20,0.6,0.4,0.588978911,0.822042178,0.482995522,0.042214473,,,
S3,1,20,0.8,0.266666667,0.707487839,0.585024323,0.453449004,0.202777303,,,
S3,2,20,0,1,0.649693419,0.700613162,0.662690513,0.036826676,,,
S3,2,20,0.2,1,0,1,-0.901446978,0.603537378,,,
S3,2,20,0.4,0.8,0.554255751,0.891488497,0.229260231,0.619493198,,,
S3,2,20,0.6,0.4,0.554255751,0.891488497,0.226912193,0.149677355,,,
S3,2,20,0.8,0.2,0.913468674,0.173062653,0.252048377,0.293301658,,,
S3,3,20,0,0.8,0.5,1,0.62610045,0.104251151,,,
S3,3,20,0.2,0.8125,0.513791531,0.972416937,0.609898225,0.049310439,,,
S3,3,20,0.4,0.714285714,0.5,1,0.578172877,0.163465264,,,
S3,3,20,0.6,0.5,0.54697853,0.90604294,0.567730498,0.169869923,,,
S3,3,20,0.8,0.230769231,0.697985687,0.90604294,0.587432517,0.110787276,,,
S3,4,20,0,1,0,1,-0.99114372,0.970479067,,,
S3,4,20,0.2,1,0,1,0.655830376,0.061707562,,,
S3,4,20,0.4,0.666666667,0.666666667,1,0.228396097,0.494170466,,,
S3,4,20,0.6,0.8,0.892636608,0.214726785,0.395735691,0.11328643,,,
S3,4,20,0.8,0.25,0.5,1,0.377764266,0.420057295,,,
S3,5,20,0,0.65,0.077789629,0.922210371,-0.821095141,0.361320371,,,
S3,5,20,0.2,0.526315789,0.536114535,0.92777093,0.497510963,0.16850808,,,
S3,5,20,0.4,0.916666667,0.01322572,0.98677428,0.388127835,0.388991597,,,
S3,5,20,0.6,0.466666667,0.583684137,0.832631727,0.477696111,0.210777093,,,
S3,5,20,0.8,0.2,0.688069762,0.623860476,0.393144953,0.194828602,0.649021496,0.447403326,0.854247868
Scene,Sindex,Num,Noise_Rate,Jaccard,LIP,MLMSSM,best_argminC,best_avgConf,0.714623932,0.384308844,0.782103455
S4,1_2,20,0,0.8,0,1,0.565833558,0.118754272,,,
S4,1_2,20,0.2,0.8,0.08004121,0.91995879,0.436730276,0.067494194,,,
S4,1_2,20,0.4,0.857142857,0.011694097,0.988305903,0.612538085,0.067790799,,,
S4,1_2,20,0.6,0.4,0.091735307,0.908264693,0.483443978,0.055543043,,,
S4,1_2,20,0.8,0.2,0.023438047,0.976561953,0.446449873,0.210972258,,,
S4,1_3,20,0,0.9,0,1,0.360730561,0.442083923,,,
S4,1_3,20,0.2,0.888888889,0.011743949,0.988256051,0.293174803,0.373202789,,,
S4,1_3,20,0.4,0.666666667,0.341162633,0.988256051,0.358319766,0.252145922,,,
S4,1_3,20,0.6,0.388888889,0.508204362,0.491795638,0.450263335,0.344024997,,,
S4,1_3,20,0.8,0.2,0.530355528,0.469644472,0.500859187,0.026937795,,,
S4,1_4,20,0,0.55,0.238165356,0.761834644,0.621951974,0.036613389,,,
S4,1_4,20,0.2,0.705882353,0.353460819,0.969808772,0.591686342,0.105574599,,,
S4,1_4,20,0.4,0.6875,0.047840639,0.952159361,0.550697556,0.118424392,,,
S4,1_4,20,0.6,0.388888889,0.398460414,0.902309379,0.667110443,0.044398105,,,
S4,1_4,20,0.8,0.25,0.097690621,0.902309379,0.531545834,0.218170623,,,
S4,1_5,20,0,0.95,0.199503134,0.800496866,0.435947849,0.155058873,,,
S4,1_5,20,0.2,0.8,0.199503134,0.800496866,0.417352484,0.201891083,,,
S4,1_5,20,0.4,0.631578947,0.199503134,0.800496866,0.44287647,0.048392983,,,
S4,1_5,20,0.6,0.4,0.199503134,0.800496866,0.501817508,0.141558923,,,
S4,1_5,20,0.8,0.2,0.199503134,0.800496866,0.375363977,0.20703828,,,
S4,2_3,20,0,0.85,0.15160653,0.84839347,0.00067759,0.367958942,,,
S4,2_3,20,0.2,1,0,1,0.129033893,0.776530384,,,
S4,2_3,20,0.4,0.6875,0.011694097,0.988305903,0.090721782,0.799159568,,,
S4,2_3,20,0.6,0.4,0.23732841,0.76267159,0.325998962,0.252302288,,,
S4,2_3,20,0.8,0.2,0.43985725,0.56014275,0.367097834,0.225897898,,,
S4,2_4,20,0,0.75,0,1,0.497466294,0.182365445,,,
S4,2_4,20,0.2,0.941176471,0.333333333,1,0.59637203,0.110463287,,,
S4,2_4,20,0.4,0.6,0.090321608,0.454839196,-0.788748236,0,,,
S4,2_4,20,0.6,0.727272727,0.011694097,0.988305903,0.551406141,0.128982516,,,
S4,2_4,20,0.8,0.111111111,0.07864091,0.92135909,0.421539667,0.237725542,,,
S4,2_5,20,0,0.8,0.119461924,0.880538076,0.546714825,0.131631711,,,
S4,2_5,20,0.2,0.8,0.131156022,0.868843978,0.596513181,0.069299209,,,
S4,2_5,20,0.4,0.6,0.119461924,0.880538076,0.421763831,0.078266667,,,
S4,2_5,20,0.6,0.388888889,0.131156022,0.868843978,0.396653179,0.249575266,,,
S4,2_5,20,0.8,0.272727273,0.420770681,0.868843978,0.402702124,0.189353113,,,
S4,3_4,20,0,1,0,1,0.161322324,0.769539538,,,
S4,3_4,20,0.2,1,0,1,0.369781504,0.445830707,,,
S4,3_4,20,0.4,0.705882353,0.017649411,0.982350589,0.338210075,0.482410231,,,
S4,3_4,20,0.6,0.533333333,0.209817017,0.790182983,0.310639918,0.508687775,,,
S4,3_4,20,0.8,0.266666667,0.445812564,0.554187436,0.338135101,0.44476181,,,
S4,3_5,20,0,0.9,0.247488097,0.752511903,0.181646281,0.489144106,,,
S4,3_5,20,0.2,1,0.192167606,0.807832394,0.284603234,0.559645205,,,
S4,3_5,20,0.4,0.6,0.119461924,0.880538076,0.28531144,0.280337929,,,
S4,3_5,20,0.6,0.470588235,0.547625077,0.452374923,0.254748355,0.589693399,,,
S4,3_5,20,0.8,0.2,0.301284545,0.698715455,0.290632582,0.094106209,,,
S4,4_5,20,0,1,0.133893625,0.433053187,-0.762421783,0,,,
S4,4_5,20,0.2,0.8,0.186408737,0.813591263,0.448491078,0.052542701,,,
S4,4_5,20,0.4,0.647058824,0.412974616,0.880538076,0.613948556,0.083577213,,,
S4,4_5,20,0.6,0.5,0.42474089,0.862888665,0.671961498,0.027451713,,,
S4,4_5,20,0.8,0.222222222,0.137111335,0.862888665,0.478905005,0.283945954,0.612797312,0.187688538,0.83770458
Scene,Sindex,Num,Noise_Rate,Jaccard,LIP,MLMSSM,best_argminC,best_avgConf,0.610748788,0.241814838,0.814336663
S5,1_2,20,0,1,0.054255751,0.945744249,0.306189452,0.557621247,,,
S5,1_2,20,0.2,1,0.054255751,0.945744249,0.224619074,0.645036086,,,
S5,1_2,20,0.4,0.6,0.32620609,0.67379391,0.239660413,0.133744422,,,
S5,1_2,20,0.6,0.4,0.617655145,0.382344855,0.365365397,0.073487436,,,
S5,1_2,20,0.8,0.2,0.768780245,0.231219755,0.46737082,0.072235698,,,
S5,1_3,20,0,0.9,0,1,0.192111703,0.717501329,,,
S5,1_3,20,0.2,0.941176471,0.04697853,0.95302147,0.223476676,0.66183795,,,
S5,1_3,20,0.4,0.846153846,0.30111215,0.69888785,0.195630666,0.591550355,,,
S5,1_3,20,0.6,0.4,0.318928869,0.681071131,0.37204453,0.216684864,,,
S5,1_3,20,0.8,0.285714286,0.463360918,0.536639082,0.34281443,0.258292557,,,
S5,1_4,20,0,1,0.15160653,0.84839347,0.520033415,0.176859314,,,
S5,1_4,20,0.2,1,0,1,0.239495798,0.623807099,,,
S5,1_4,20,0.4,0.75,0.335514011,0.664485989,0.286780037,0.362073224,,,
S5,1_4,20,0.6,0.5,0.635650991,0.364349009,0.363757578,0.431826488,,,
S5,1_4,20,0.8,0.2,0.753263376,0.246736624,0.471282883,0.153158784,,,
S5,1_5,20,0,0.9,0.00661286,0.99338714,0.555592395,0.198705239,,,
S5,1_5,20,0.2,0.875,0.035041556,0.964958444,0.551679877,0.147381912,,,
S5,1_5,20,0.4,0.666666667,0.46644617,0.53355383,0.450290639,0.311024918,,,
S5,1_5,20,0.6,0.4,0.395557601,0.604442399,0.457981222,0.149297298,,,
S5,1_5,20,0.8,0.285714286,0.583203034,0.416796966,0.3845647,0.357634764,,,
S5,2_3,20,0,1,0.054255751,0.945744249,0.165340929,0.536089494,,,
S5,2_3,20,0.2,0.875,0.054255751,0.945744249,0.083696699,0.572901722,,,
S5,2_3,20,0.4,0.6875,0.101234281,0.898765719,0.295756429,0.365352063,,,
S5,2_3,20,0.6,0.4,0.248024627,0.751975373,0.306836646,0.234142767,,,
S5,2_3,20,0.8,0.285714286,0.460447204,0.539552796,0.433613273,0.352237551,,,
S5,2_4,20,0,1,0,1,0.346730453,0.371016564,,,
S5,2_4,20,0.2,0.875,0.054255751,0.945744249,0.222238562,0.437714835,,,
S5,2_4,20,0.4,0.75,0.607099367,0.589350949,0.377905001,0.235550287,,,
S5,2_4,20,0.6,0.533333333,0.707640577,0.292359423,0.346402269,0.314583496,,,
S5,2_4,20,0.8,0.2,0.950345444,0.049654556,0.464935928,0.153211404,,,
S5,2_5,20,0,1,0.310976971,0.689023029,0.189786832,0.453235974,,,
S5,2_5,20,0.2,1,0.273395496,0.726604504,0.206777959,0.429043958,,,
S5,2_5,20,0.4,0.857142857,0.540651314,0.689023029,0.282160975,0.304011533,,,
S5,2_5,20,0.6,0.4,0.614948831,0.577576754,0.4665711,0.062899634,,,
S5,2_5,20,0.8,0.2,0.551088824,0.448911176,0.376779263,0.073373155,,,
S5,3_4,20,0,1,0,1,0.195346591,0.720933442,,,
S5,3_4,20,0.2,1,0.192167606,0.807832394,0.263791429,0.597190305,,,
S5,3_4,20,0.4,0.75,0.098331208,0.901668792,0.306215144,0.540913264,,,
S5,3_4,20,0.6,0.615384615,0.486759841,0.513240159,0.352213076,0.284571762,,,
S5,3_4,20,0.8,0.235294118,0.09395706,0.45302147,-0.75844848,0.180216148,,,
S5,3_5,20,0,1,0.00661286,0.99338714,0.245038043,0.620849024,,,
S5,3_5,20,0.2,0.647058824,0.205663268,0.794336732,0.390370808,0.239202663,,,
S5,3_5,20,0.4,0.857142857,0.05359139,0.94640861,0.374923176,0.422497493,,,
