Scene,Sindex,Num,Noise_Rate,Jaccard,Precisiom,Recall,best_argminC,best_avgConf
S2,1,10,0.0,0.8,0.5,1.0,0.5470259159838335,0.2750388887288097
S2,1,10,0.2,0.6666666666666666,0.4882560505819935,0.976512101163987,0.34790647261810415,0.26969644715107854
S2,1,10,0.4,0.6666666666666666,1.0,1.0,0.23187536830114616,0.6539526963276465
S2,1,10,0.6,0.4,0.4882560505819935,0.976512101163987,0.47423370413138477,0.17072415935802587
S2,1,10,0.8,0.125,0.3122154846741665,0.624430969348333,0.5458382406238556,0.19168103072833495
S2,1,20,0.0,1.0,0.5,1.0,0.6334972080739785,0.32350595590924214
S2,1,20,0.2,0.6842105263157895,0.325504033721329,0.976512101163987,0.4688126059119402,0.21806303299419638
S2,1,20,0.4,0.9230769230769231,0.997502593800001,0.997502593800001,0.05203161153199026,0.43365138744656334
S2,1,20,0.6,0.4,0.41995879031935424,0.8399175806387085,0.19876117928498496,0.3505419840628191
S2,1,20,0.8,0.2,0.4485441912649595,0.897088382529919,0.4733713969838902,0.24896213251895993
S2,1,40,0.0,1.0,0.5,1.0,0.6815868633164844,0.2824012097688211
S2,1,40,0.2,0.8,0.325504033721329,0.976512101163987,0.702797531423455,0.13008894020796388
S2,1,40,0.4,0.625,0.5,1.0,0.6176802242212923,0.3486205713973764
S2,1,40,0.6,0.5172413793103449,0.3263602067713916,0.9790806203141748,0.5621800791881855,0.20580743754456166
S2,1,40,0.8,0.21621621621621623,0.29902946084330634,0.897088382529919,0.6432939363631108,0.22808275938863334
S2,1,60,0.0,0.6333333333333333,0.3333333333333333,1.0,0.7010471528803586,0.2567949618726757
S2,1,60,0.2,0.8,0.4882560505819935,0.976512101163987,0.5617850195780922,0.1764714382205832
S2,1,60,0.4,0.6101694915254238,0.41995879031935424,0.8399175806387085,0.23540155091146459,0.11027383204820008
S2,1,60,0.6,0.5454545454545454,0.41995879031935424,0.8399175806387085,0.28129817397802254,0.35935091301098876
S2,1,60,0.8,0.2,0.4882560505819935,0.976512101163987,0.6553754448859361,0.11712986893339372
S2,1,80,0.0,1.0,0.3333333333333333,1.0,0.6671756998778755,0.29503000674220886
S2,1,80,0.2,0.8,0.4882560505819935,0.976512101163987,0.3859127353561239,0.2503998126013796
S2,1,80,0.4,0.6233766233766234,0.41995879031935424,0.8399175806387085,0.436682872000415,0.2816585639997925
S2,1,80,0.6,0.41025641025641024,0.43822830167336463,0.8764566033467293,0.4453724244873731,0.14547054548629615
S2,1,80,0.8,0.2,0.41995879031935424,0.8399175806387085,0.5242739240226753,0.23786303798866237
S2,1,100,0.0,1.0,0.3333333333333333,1.0,0.6811583146124993,0.285918048214171
S2,1,100,0.2,0.9195402298850575,0.5,1.0,0.34142657773211543,0.5861089425700272
S2,1,100,0.4,0.625,0.41995879031935424,0.8399175806387085,0.5167429847908327,0.24162850760458365
S2,1,100,0.6,0.4819277108433735,0.41995879031935424,0.8399175806387085,0.12193680043768305,0.43903159978115847
S2,1,100,0.8,0.2,0.4882560505819935,0.976512101163987,0.5596162038820884,0.19153662611094235
S2,2,10,0.0,1.0,0.5,1.0,0.6944479082815587,0.2177805716070308
S2,2,10,0.2,0.7777777777777778,0.5,1.0,0.7046297074360484,0.20405613982177812
S2,2,10,0.4,0.75,0.4883059025710878,0.9766118051421756,0.7300125699350315,0.13975463711481617
S2,2,10,0.6,0.5,0.4883059025710878,0.9766118051421756,0.5727075482915225,0.2485548014587135
S2,2,10,0.8,0.25,0.4883059025710878,0.9766118051421756,0.3572303069367145,0.6249149793670832
S2,2,20,0.0,0.75,0.5,1.0,0.6690411017966487,0.18615385653167166
S2,2,20,0.2,0.8,0.5,1.0,0.7004601062857194,0.20733596420234512
S2,2,20,0.4,0.7058823529411765,0.4883059025710878,0.9766118051421756,0.7167057877988501,0.179280346543219
S2,2,20,0.6,0.4,0.4883059025710878,0.9766118051421756,0.6174768638898526,0.38252313611014743
S2,2,20,0.8,0.25,0.4883059025710878,0.9766118051421756,0.517121807955161,0.3027423440876469
S2,2,40,0.0,1.0,0.5,1.0,0.6846684664826252,0.2286811425877776
S2,2,40,0.2,0.84375,0.5,1.0,0.7851078191214006,0.08203633457356918
S2,2,40,0.4,0.6666666666666666,0.3333333333333333,1.0,0.7542643177854391,0.2196733771759287
S2,2,40,0.6,0.5517241379310345,0.4883059025710878,0.9766118051421756,0.5397325236096212,0.21896205413788142
S2,2,40,0.8,0.27586206896551724,0.4883059025710878,0.9766118051421756,0.5584315851916345,0.24026743065952783
S2,2,60,0.0,1.0,0.5,1.0,0.7524747448571596,0.1801801885407862
S2,2,60,0.2,1.0,0.5,1.0,0.7743614623845648,0.21510047404548355
S2,2,60,0.4,0.7058823529411765,0.5,1.0,0.7400961776341144,0.15145735687873052
S2,2,60,0.6,0.4,0.3333333333333333,1.0,0.7480324575037272,0.19218205330777774
S2,2,60,0.8,0.2,0.3255372683807252,0.9766118051421756,0.70390011515045,0.22153241606607157
S2,2,80,0.0,1.0,0.5,1.0,0.7591879718587238,0.1716185511986109
S2,2,80,0.2,1.0,0.5,1.0,0.7098890879237569,0.2373661782029683
S2,2,80,0.4,0.7384615384615385,0.5,1.0,0.7114648477466182,0.19058993200847893
S2,2,80,0.6,0.4,0.3333333333333333,1.0,0.7384088901466132,0.23321573345812263
