mu,10,gamma,0.7,min_support,0.3,,,
Scene,Sindex,Num,Noise_Rate,Jaccard,LIP,MLMSSM,best_argminC,best_avgConf
jac,LIP,MLMSSM,avgConf,cc,,,,
0.8,0.5,1,0.06986447,0.619455913,,,,
0.8,0.666666667,1,0.006897909,0.680271921,,,,
0.9,0.666666667,1,0.020228541,0.669483662,,,,
0.8,0.5,1,0.069778174,0.619555401,,,,
0.9,0.666666667,1,0.007143975,0.680408481,,,,
0.8,0.666666667,1,0.028492774,0.659073799,,,,
0.9,0.5,1,0.188509189,0.554382802,,,,
0.9,0.5,1,0.125684822,0.602464104,,,,
S2,1,10,0,0.9,0.5,1,0.554382802,0.188509189
jac,LIP,MLMSSM,avgConf,cc,,,,
0.777777778,0.674495966,0.976512101,0.062606685,0.597176983,,,,
0.666666667,0.5,1,0.388185364,0.396805158,,,,
0.777777778,0.666666667,1,0.085837011,0.635078593,,,,
0.666666667,0.511743949,0.976512101,0.208029697,0.347906473,,,,
0.875,0.5,1,0.077030788,0.640203663,,,,
S2,1,10,0.2,0.666666667,0.511743949,0.976512101,0.347906473,0.208029697
jac,LIP,MLMSSM,avgConf,cc,,,,
0.5,0.674495966,0.976512101,0.038021788,0.61329933,,,,
0.5,0.674495966,0.976512101,0.045180307,0.597297336,,,,
0.5,0.674495966,0.976512101,0.04697883,0.596090207,,,,
0.625,0.511743949,0.976512101,0.148001841,0.335027019,,,,
0.625,0.511743949,0.976512101,0.150842229,0.328022613,,,,
0.625,0.511743949,0.976512101,0.154730949,0.318433019,,,,
0.625,0.511743949,0.976512101,0.15753524,0.311517628,,,,
0.625,0.511743949,0.976512101,0.158636933,0.30880085,,,,
0.5,0.674495966,0.976512101,0.042216767,0.605908087,,,,
0.5,0.674495966,0.976512101,0.043896296,0.604754196,,,,
0.666666667,0,1,0.554312719,0.244237865,,,,
0.666666667,0,1,0.526074598,0.267455565,,,,
0.625,0.511743949,0.976512101,0.151888483,0.325442548,,,,
0.666666667,0,1,0.569348389,0.231875368,,,,
0.666666667,0,1,0.54005887,0.255957539,,,,
0.666666667,0,1,0.526074598,0.267455565,,,,
0.666666667,0,1,0.529880111,0.264326629,,,,
0.5,0.674495966,0.976512101,0.034854593,0.622078342,,,,
0.666666667,0,1,0.51510966,0.27647106,,,,
0.666666667,0,1,0.488910398,0.298012387,,,,
0.625,0.511743949,0.976512101,0.123344411,0.395832314,,,,
0.625,0.511743949,0.976512101,0.12643692,0.388206179,,,,
0.666666667,0,1,0.46848671,0.314804972,,,,
0.666666667,0,1,0.471788669,0.312090064,,,,
0.5,0.674495966,0.976512101,0.042431391,0.606213843,,,,
0.5,0.674495966,0.976512101,0.044692818,0.605073561,,,,
0.5,0.674495966,0.976512101,0.042346296,0.608460786,,,,
0.625,0.511743949,0.976512101,0.122651484,0.397541075,,,,
0.666666667,0,1,0.493301308,0.294402131,,,,
0.666666667,0,1,0.46848671,0.314804972,,,,
0.666666667,0,1,0.54005887,0.255957539,,,,
0.666666667,0,1,0.544024457,0.25269699,,,,
0.666666667,0,1,0.480624842,0.304824864,,,,
0.666666667,0,1,0.484059441,0.302000898,,,,
0.5,0.674495966,0.976512101,0.054831681,0.581108044,,,,
0.5,0.674495966,0.976512101,0.057671458,0.579745261,,,,
0.5,0.674495966,0.976512101,0.048920824,0.594248749,,,,
0.625,0.511743949,0.976512101,0.122445287,0.398049557,,,,
S2,1,10,0.4,0.666666667,0,1,0.231875368,0.569348389
jac,LIP,MLMSSM,avgConf,cc,,,,
0.4,0.58004121,0.839917581,0.024301827,0.521692235,,,,
0.4,0.58004121,0.839917581,0.025486294,0.513001547,,,,
0.3,0.674495966,0.976512101,0.039170677,0.61721627,,,,
0.3,0.674495966,0.976512101,0.041061382,0.613220435,,,,
0.4,0.511743949,0.976512101,0.03121772,0.608726449,,,,
0.333333333,0.674495966,0.976512101,0.016421802,0.666870297,,,,
0.4,0.58004121,0.839917581,0.040069131,0.518783797,,,,
0.4,0.511743949,0.976512101,0.067433967,0.582061807,,,,
0.4,0.511743949,0.976512101,0.067116527,0.540045532,,,,
0.4,0.674495966,0.976512101,0.027758815,0.638675751,,,,
0.3,0.674495966,0.976512101,0.083743734,0.523015093,,,,
0.4,0.58004121,0.839917581,0.028459782,0.512005248,,,,
0.4,0.58004121,0.839917581,0.022975639,0.531422764,,,,
0.444444444,0.674495966,0.976512101,0.020053246,0.667883119,,,,
0.3,0.674495966,0.976512101,0.043179744,0.621847033,,,,
0.3,0.674495966,0.976512101,0.01030267,0.680209439,,,,
0.333333333,0.674495966,0.976512101,0.015760333,0.668204759,,,,
0.4,0.511743949,0.976512101,0.090608189,0.541531404,,,,
0.4,0.511743949,0.976512101,0.066467659,0.541591938,,,,
0.3,0.674495966,0.976512101,0.104336075,0.478833177,,,,
0.3,0.674495966,0.976512101,0.096211026,0.482442352,,,,
0.4,0.511743949,0.976512101,0.119389493,0.421021289,,,,
0.4,0.511743949,0.976512101,0.106896392,0.426662675,,,,
0.375,0.511743949,0.976512101,0.003095636,0.690593956,,,,
0.3,0.674495966,0.976512101,0.021646123,0.636262073,,,,
0.333333333,0.511743949,0.976512101,0.159564047,0.42565892,,,,
0.4,0.674495966,0.976512101,0.022116533,0.627380067,,,,
0.1,0.674495966,0.976512101,0.051371286,0.577526454,,,,
0.4,0.511743949,0.976512101,0.109195372,0.439761748,,,,
0.3,0.674495966,0.976512101,0.023379659,0.651433953,,,,
0.4,0.511743949,0.976512101,0.079642003,0.496352977,,,,
0.4,0.023487899,0.976512101,0.056703651,-0.742627169,,,,
0.333333333,0.674495966,0.976512101,0.036138501,0.627093396,,,,
0.4,0.511743949,0.976512101,0.079452565,0.528721157,,,,
0.4,0.511743949,0.976512101,0.070411605,0.532192584,,,,
0.4,0.674495966,0.976512101,0.006819405,0.687858923,,,,
0.3,0.674495966,0.976512101,0.040578527,0.580514804,,,,
S2,1,10,0.6,0.4,0.511743949,0.976512101,0.421021289,0.119389493
jac,LIP,MLMSSM,avgConf,cc,,,,
0.2,0.163641904,0.836358096,0.10380098,0.623515067,,,,
0.222222222,0.720027473,0.839917581,0.040563681,0.662824776,,,,
0.125,0.581820952,0.836358096,0.418720521,0.383130416,,,,
0.166666667,0.601950032,0.796099936,0.295343517,0.343811289,,,,
0.125,0.581820952,0.836358096,0.417700383,0.383902413,,,,
0.125,0.581820952,0.836358096,0.398955205,0.398087953,,,,
0.125,0.581820952,0.836358096,0.422281447,0.380435662,,,,
0.125,0.581820952,0.836358096,0.332371111,0.448475916,,,,
0.285714286,0.023487899,0.976512101,0.029270958,0.6523897,,,,
0.285714286,0.023487899,0.976512101,0.022361088,0.663628861,,,,
0.285714286,0.023487899,0.976512101,0.030161044,0.650941942,,,,
0.285714286,0.023487899,0.976512101,0.023324531,0.662061784,,,,
0.285714286,0.023487899,0.976512101,0.049845301,0.618924767,,,,
0.285714286,0.023487899,0.976512101,0.037231661,0.63944132,,,,
0.285714286,0.023487899,0.976512101,0.052026057,0.615377687,,,,
0.285714286,0.023487899,0.976512101,0.038287864,0.637723367,,,,
0.222222222,0.720027473,0.839917581,0.062367558,0.643599583,,,,
0.111111111,0.720027473,0.839917581,0.028337965,0.673664524,,,,
0.125,0.581820952,0.836358096,0.354623593,0.4316362,,,,
0.222222222,0.720027473,0.839917581,0.063061285,0.64297223,,,,
0.125,0.581820952,0.836358096,0.350236653,0.434956046,,,,
0.222222222,0.720027473,0.839917581,0.050599269,0.637441674,,,,
0.222222222,0.58004121,0.839917581,0.270145234,0.425217057,,,,
0.2,0.720027473,0.839917581,0.070898725,0.611804609,,,,
S2,1,10,0.8,0.166666667,0.601950032,0.796099936,0.343811289,0.295343517
jac,LIP,MLMSSM,avgConf,cc,,,,
1,0.5,1,0.071914583,0.642484306,,,,
1,0.5,1,0.08385845,0.633497208,,,,
S2,1,20,0,1,0.5,1,0.633497208,0.08385845
jac,LIP,MLMSSM,avgConf,cc,,,,
0.764705882,0.666666667,1,0.173139303,0.557141084,,,,
0.764705882,0.666666667,1,0.241357844,0.511276754,,,,
0.789473684,0.674495966,0.976512101,0.090525121,0.53945127,,,,
0.684210526,0.674495966,0.976512101,0.132169412,0.474630724,,,,
0.736842105,0.674495966,0.976512101,0.040092096,0.620771213,,,,
0.684210526,0.511743949,0.976512101,0.116207954,0.476587516,,,,
0.875,0.666666667,1,0.04936472,0.646179993,,,,
0.8125,0.5,1,0.204498075,0.517286414,,,,
0.789473684,0.674495966,0.976512101,0.093016341,0.535033024,,,,
0.8,0.511743949,0.976512101,0.108550485,0.480310625,,,,
0.722222222,0.511743949,0.976512101,0.139003822,0.439371401,,,,
0.789473684,0.674495966,0.976512101,0.142866909,0.442899985,,,,
0.8,0.674495966,0.976512101,0.11438518,0.430938909,,,,
0.8,0.674495966,0.976512101,0.156357548,0.338048267,,,,
0.722222222,0.511743949,0.976512101,0.134957268,0.446958586,,,,
0.789473684,0.511743949,0.976512101,0.157477056,0.381105347,,,,
0.684210526,0.511743949,0.976512101,0.112919302,0.410201035,,,,
0.8,0.674495966,0.976512101,0.091498099,0.484794259,,,,
1,0.666666667,1,0.062129863,0.632318826,,,,
0.941176471,0.666666667,1,0.131767742,0.586569658,,,,
0.789473684,0.674495966,0.976512101,0.139466886,0.44901859,,,,
0.8,0.511743949,0.976512101,0.223905819,0.246849289,,,,
S2,1,20,0.2,0.8,0.511743949,0.976512101,0.246849289,0.223905819
jac,LIP,MLMSSM,avgConf,cc,,,,
0.6,0.511743949,0.976512101,0.067640097,0.572797587,,,,
0.631578947,0.160082419,0.839917581,0,0.450594717,,,,
0.923076923,0.002497406,0.997502594,0.162722605,0.451000174,,,,
