Scene,Sindex,Num,Noise_Rate,gamma,Jaccard,LIP,MLMSSM,best_argminC,best_avgConf
S2,1,10,0,0.2,1,0,1,-0.648112102,0.478382606
S2,1,10,0,0.3,1,0,1,-0.648112102,0.424717128
S2,1,10,0,0.4,1,0,1,-0.648112102,0.353163158
S2,1,10,0,0.5,1,0,1,-0.648112102,0.2529876
S2,1,10,0,0.6,1,0,1,-0.648112102,0.102724264
S2,1,10,0,0.7,0.8,0.5,1,0.547025916,0.132690726
S2,1,10,0,0.8,0.8,0.5,1,0.547025916,0.192002461
S2,1,10,0,0.9,0.8,0.5,1,0.547025916,0.23813381
S2,1,10,0,1,0.8,0.5,1,0.547025916,0.275038889
S2,1,20,0,0.2,1,0,1,-0.642484306,0.475526539
S2,1,20,0,0.3,1,0,1,-0.642484306,0.420638975
S2,1,20,0,0.4,1,0,1,-0.642484306,0.347455556
S2,1,20,0,0.5,1,0,1,-0.642484306,0.244998769
S2,1,20,0,0.6,1,0,1,-0.642484306,0.091313589
S2,1,20,0,0.7,1,0.5,1,0.633497208,0.08385845
S2,1,20,0,0.8,1,0.5,1,0.633497208,0.183711578
S2,1,20,0,0.9,1,0.5,1,0.633497208,0.261375121
S2,1,20,0,1,1,0.5,1,0.633497208,0.323505956
S2,1,40,0,0.2,1,0,1,-0.775286327,0.61066824
S2,1,40,0,0.3,1,0,1,-0.775286327,0.576591916
S2,1,40,0,0.4,1,0,1,-0.775286327,0.531156817
S2,1,40,0,0.5,1,0,1,-0.775286327,0.467547679
S2,1,40,0,0.6,1,0,1,-0.775286327,0.372133972
S2,1,40,0,0.7,1,0,1,-0.775286327,0.213111127
S2,1,40,0,0.8,1,0.5,1,0.681586863,0.131276042
S2,1,40,0,0.9,1,0.5,1,0.681586863,0.215234469
S2,1,40,0,1,1,0,1,0.633571052,0.311172381
S2,1,60,0,0.2,1,0,1,-0.726820001,0.523213806
S2,1,60,0,0.3,1,0,1,-0.726820001,0.484455231
S2,1,60,0,0.4,1,0,1,-0.726820001,0.432777132
S2,1,60,0,0.5,1,0,1,-0.726820001,0.360427792
S2,1,60,0,0.6,1,0,1,-0.726820001,0.251903783
S2,1,60,0,0.7,1,0.5,1,0.654541622,0.055142766
S2,1,60,0,0.8,0.633333333,0.666666667,1,0.701047153,0.10624833
S2,1,60,0,0.9,0.633333333,0.666666667,1,0.701047153,0.189885348
S2,1,60,0,1,0.633333333,0.666666667,1,0.701047153,0.256794962
S2,1,80,0,0.2,1,0,1,-0.651606275,0.468942051
S2,1,80,0,0.3,1,0,1,-0.651606275,0.417260981
S2,1,80,0,0.4,1,0,1,-0.651606275,0.348352888
S2,1,80,0,0.5,1,0,1,-0.651606275,0.251881558
S2,1,80,0,0.6,1,0,1,-0.651606275,0.107174562
S2,1,80,0,0.7,1,0.5,1,0.651606275,0.060356111
S2,1,80,0,0.8,1,0.666666667,1,0.6671757,0.147176581
S2,1,80,0,0.9,1,0.5,1,0.651606275,0.240950788
S2,1,80,0,1,1,0.5,1,0.651606275,0.304158924
S2,1,100,0,0.2,1,0,1,-0.744338436,0.565451188
S2,1,100,0,0.3,1,0,1,-0.744338436,0.52751152
S2,1,100,0,0.4,1,0,1,-0.744338436,0.476925297
S2,1,100,0,0.5,1,0,1,-0.744338436,0.406104584
S2,1,100,0,0.6,1,0,1,-0.744338436,0.299873515
S2,1,100,0,0.7,1,0,1,-0.744338436,0.122821732
S2,1,100,0,0.8,1,0.666666667,1,0.703523039,0.083468414
S2,1,100,0,0.9,1,0.666666667,1,0.703523039,0.151097631
S2,1,100,0,1,1,0.5,1,0.711149856,0.252244641
S2,1,10,0.2,0.2,1,0,1,-0.615458107,0.182136513
S2,1,10,0.2,0.3,1,0,1,-0.615458107,0.158053246
S2,1,10,0.2,0.4,1,0,1,-0.615458107,0.125942223
S2,1,10,0.2,0.5,0.666666667,0.511743949,0.976512101,0.330173204,0.140475811
S2,1,10,0.2,0.6,0.666666667,0.511743949,0.976512101,0.330173204,0.185994098
S2,1,10,0.2,0.7,0.666666667,0.511743949,0.976512101,0.347906473,0.208029697
S2,1,10,0.2,0.8,0.666666667,0.511743949,0.976512101,0.330173204,0.242891956
S2,1,10,0.2,0.9,0.666666667,0.511743949,0.976512101,0.330173204,0.261857908
S2,1,10,0.2,1,0.666666667,0.511743949,0.976512101,0.330173204,0.277030671
S2,1,20,0.2,0.2,0.8,0.023487899,0.976512101,-0.695672512,0.185494986
S2,1,20,0.2,0.3,0.8,0.023487899,0.976512101,-0.695672512,0.169225251
S2,1,20,0.2,0.4,0.8,0.023487899,0.976512101,-0.695672512,0.147532271
S2,1,20,0.2,0.5,0.8,0.023487899,0.976512101,-0.695672512,0.117162099
S2,1,20,0.2,0.6,0.684210526,0.674495966,0.976512101,0.468812606,0.089758408
S2,1,20,0.2,0.7,0.684210526,0.511743949,0.976512101,0.40369743,0.115453413
S2,1,20,0.2,0.8,0.684210526,0.511743949,0.976512101,0.40369743,0.13511585
S2,1,20,0.2,0.9,0.684210526,0.511743949,0.976512101,0.40369743,0.150408857
S2,1,20,0.2,1,0.684210526,0.511743949,0.976512101,0.40369743,0.162643262
S2,1,40,0.2,0.2,0.75,0,1,-0.87242514,0.700239715
S2,1,40,0.2,0.3,0.75,0,1,-0.87242514,0.681260866
S2,1,40,0.2,0.4,0.75,0,1,-0.87242514,0.655955735
S2,1,40,0.2,0.5,0.75,0,1,-0.87242514,0.620528551
S2,1,40,0.2,0.6,0.75,0,1,-0.87242514,0.567387776
S2,1,40,0.2,0.7,0.8,0.511743949,0.976512101,0.670045587,0.016928964
S2,1,40,0.2,0.8,0.8,0.674495966,0.976512101,0.702797531,0.053183299
S2,1,40,0.2,0.9,0.8,0.511743949,0.976512101,0.697549552,0.092739621
S2,1,40,0.2,1,0.8,0.511743949,0.976512101,0.697549552,0.124693357
S2,1,60,0.2,0.2,0.8,0.023487899,0.976512101,-0.754989104,0.223491618
