Scene,Sindex,Num,Noise_Rate,Jaccard,LIP,MLMSSM,best_argminC,best_avgConf
S2,1,10,0,0.8,0.5,1,0.547025916,0.132690726
S2,1,20,0,1,0.5,1,0.633497208,0.08385845
S2,1,40,0,1,0.5,1,0.681586863,0.023329494
S2,1,60,0,1,0.5,1,0.654541622,0.055142766
S2,1,80,0,1,0.5,1,0.651606275,0.060356111
S2,1,100,0,1,0,1,-0.743807134,0.121349976
S2,1,10,0.2,0.666666667,0.511743949,0.976512101,0.347906473,0.208029697
S2,1,20,0.2,0.684210526,0.511743949,0.976512101,0.397199158,0.117985445
S2,1,40,0.2,0.8,0.511743949,0.976512101,0.670045587,0.016928964
S2,1,60,0.2,0.941176471,0.5,1,0.640243297,0.070893923
S2,1,80,0.2,0.8,0.511743949,0.976512101,0.402323464,0.17340055
S2,1,100,0.2,0.91954023,0.5,1,0.359127472,0.43263839
S2,1,10,0.4,0.666666667,0,1,0.25269699,0.544024457
S2,1,20,0.4,0.923076923,0.002497406,0.997502594,0.451000174,0.162722605
S2,1,40,0.4,0.540540541,0.511743949,0.976512101,0.63958222,0.040177511
S2,1,60,0.4,0.6,0.58004121,0.839917581,0.389597298,0.063953822
S2,1,80,0.4,0.6,0.511743949,0.976512101,0.487097454,0.133884223
S2,1,100,0.4,0.6,0.511743949,0.976512101,0.59157569,0.062429471
S2,1,10,0.6,0.3,0.674495966,0.976512101,0.613220435,0.041061382
S2,1,20,0.6,0.4,0.511743949,0.976512101,0.274940652,0.254951187
S2,1,40,0.6,0.4,0.511743949,0.976512101,0.499018245,0.116165642
S2,1,60,0.6,0.444444444,0.58004121,0.839917581,0.364015452,0.239988963
S2,1,80,0.6,0.470588235,0.58004121,0.839917581,0.368993107,0.236433495
S2,1,100,0.6,0.43956044,0.58004121,0.839917581,0.31038664,0.278295257
S2,1,10,0.8,0.125,0.581820952,0.836358096,0.437536593,0.346826645
S2,1,20,0.8,0.176470588,0.700970539,0.897088383,0.459661783,0.221695062
S2,1,40,0.8,0.2,0.511743949,0.976512101,0.657012637,0.026598716
S2,1,60,0.8,0.2,0.511743949,0.976512101,0.684119591,0.008627463
S2,1,80,0.8,0.2,0.511743949,0.976512101,0.596876518,0.062754437
S2,1,100,0.8,0.21978022,0.700970539,0.897088383,0.559120169,0.129052084
S2,2,10,0,1,0,1,-0.797101842,0.287967536
S2,2,20,0,1,0.5,1,0.559227859,0.199144262
S2,2,40,0,1,0,1,-0.753899604,0.179665348
S2,2,60,0,0.666666667,0,1,-0.801408231,0.094699084
S2,2,80,0,0.65,0,1,-0.807189504,0.078533113
S2,2,100,0,0.67,0,1,-0.817287736,0.08600302
S2,2,10,0.2,0.75,0,1,-0.749413732,0.050675032
S2,2,20,0.2,0.8125,0,1,-0.734885104,0.038941273
S2,2,40,0.2,0.65625,0,1,-0.823021439,0.096869603
S2,2,60,0.2,0.666666667,0,1,-0.81815176,0.07820115
S2,2,80,0.2,0.671875,0,1,-0.777133769,0.051462923
S2,2,100,0.2,0.7625,0,1,-0.777860064,0.090842585
S2,2,10,0.4,0.75,0.023388195,0.976611805,-0.863997302,0.415203295
S2,2,20,0.4,1,0,1,-0.801097568,0.303292705
S2,2,40,0.4,0.666666667,0.023388195,0.976611805,-0.732524896,0.102995505
S2,2,60,0.4,1,0,1,-0.759719712,0.179159136
S2,2,80,0.4,1,0,1,-0.761740815,0.185222445
S2,2,100,0.4,0.866666667,0,1,-0.836188942,0.380143606
S2,2,10,0.6,0.444444444,0.511694097,0.976611805,0.686861237,0.01294062
S2,2,20,0.6,0.4,0.511694097,0.976611805,0.617476864,0.117890194
S2,2,40,0.6,0.444444444,0.511694097,0.976611805,0.594241062,0.095043087
S2,2,60,0.6,0.533333333,0.023388195,0.976611805,-0.741885228,0.122165249
S2,2,80,0.6,0.516129032,0.5,1,0.664886704,0.03135262
S2,2,100,0.6,0.526315789,0.023388195,0.976611805,-0.735312647,0.103583765
