Scene,Sindex,Num,Noise_Rate,Jaccard,LIP,MLMSSM,best_argminC,best_avgConf
S2,1,10,0.0,1.0,0.0,1.0,-0.6957045744685695,0.20433906365402227
S2,1,10,0.2,0.6666666666666666,0.5117439494180065,0.976512101163987,0.3290560243280562,0.1867641796443228
S2,1,10,0.4,0.6666666666666666,0.0,1.0,0.23187536830114616,0.5223459960129421
S2,1,10,0.6,0.4,0.5117439494180065,0.976512101163987,0.4935917508374073,0.057587243070390884
S2,1,10,0.8,0.125,0.5818209521810539,0.8363580956378922,0.41663608749852143,0.2826860317731128
S2,1,20,0.0,1.0,0.5,1.0,0.5471296038685663,0.07884779096336464
S2,1,20,0.2,0.7222222222222222,0.5117439494180065,0.976512101163987,0.4488075599001192,0.09407658363463198
S2,1,20,0.4,0.8,0.5012487030999995,0.997502593800001,0.5393516375752634,0.06934030498006202
S2,1,20,0.6,0.4,0.5800412096806458,0.8399175806387085,0.19876117928498496,0.2925699734380318
S2,1,20,0.8,0.2,0.023487898836012988,0.976512101163987,-0.7919760030436146,0.1896253544605983
S2,1,40,0.0,1.0,0.0,1.0,-0.7517579666475609,0.3221831145708124
S2,1,40,0.2,0.75,0.0,1.0,-0.8724251398232099,0.5673877755276916
S2,1,40,0.4,0.6,0.023487898836012988,0.976512101163987,-0.6460379567512915,0.049564931849966784
S2,1,40,0.6,0.4,0.5800412096806458,0.8399175806387085,0.573662704376692,0.007026506660939351
S2,1,40,0.8,0.2,0.023487898836012988,0.976512101163987,-0.7711724669421658,0.17878529920433145
S2,1,60,0.0,1.0,0.0,1.0,-0.7268200012003259,0.25190378263169194
S2,1,60,0.2,0.8,0.023487898836012988,0.976512101163987,-0.7345813876245271,0.10839064013994185
S2,1,60,0.4,0.6,0.5117439494180065,0.976512101163987,0.5339643854676281,0.032136019062704
S2,1,60,0.6,0.4,0.023487898836012988,0.976512101163987,-0.7815247940131753,0.1836300841222807
S2,1,60,0.8,0.2,0.023487898836012988,0.976512101163987,-0.6759825030501598,0.06066352838406737
S2,1,80,0.0,1.0,0.0,1.0,-0.8025992468097352,0.42075281722448077
S2,1,80,0.2,0.8,0.5117439494180065,0.976512101163987,0.40232346409820774,0.13434075360121073
S2,1,80,0.4,0.6,0.023487898836012988,0.976512101163987,-0.674324314747252,0.07316535724567624
S2,1,80,0.6,0.41025641025641024,0.7200274731204306,0.8399175806387085,0.5501269394412541,0.05541451173193984
S2,1,80,0.8,0.21333333333333335,0.5800412096806458,0.8399175806387085,0.5592407514831794,0.03248925606413233
S2,1,100,0.0,1.0,0.0,1.0,-0.7798983511169536,0.37375180469291047
S2,1,100,0.2,0.8,0.023487898836012988,0.976512101163987,-0.7412416694764887,0.11859100080378396
S2,1,100,0.4,0.6,0.5117439494180065,0.976512101163987,0.5176194474133438,0.05533940454537484
S2,1,100,0.6,0.41237113402061853,0.5800412096806458,0.8399175806387085,0.4464808848478504,0.12793259596012463
S2,1,100,0.8,0.2,0.023487898836012988,0.976512101163987,-0.7626749439017202,0.1578503777387628
S2,2,10,0.0,1.0,0.0,1.0,-0.7695993112069643,0.377225817445741
S2,2,10,0.2,0.75,0.0,1.0,-0.7494137318526908,0.11492067163690056
S2,2,10,0.4,1.0,0.0,1.0,-0.798151247739954,0.39945003474413077
S2,2,10,0.6,0.5,0.023388194857824396,0.9766118051421756,-0.6838731748240612,0.1887146433541377
