Scene,Sindex,Num,Noise_Rate,Jaccard,LIP,MLMSSM,best_argminC,best_avgConf
S2,1,10,0.0,1.0,0.0,1.0,-0.6844618244020467,0.18033464135502417
S2,1,20,0.0,1.0,0.0,1.0,-0.7315501236493711,0.282747090461056
S2,1,40,0.0,1.0,0.0,1.0,-0.7517579666475607,0.32218311457081195
S2,1,60,0.0,1.0,0.0,1.0,-0.6831931754502494,0.165247400936044
S2,1,80,0.0,1.0,0.5,1.0,0.5605252581464291,0.05743786485768066
S2,1,100,0.0,1.0,0.0,1.0,-0.7443384357125713,0.29987351467748513
S2,1,10,0.2,0.6666666666666666,0.5,1.0,0.4550011020269652,0.2165852316667003
S2,1,20,0.2,0.6842105263157895,0.6744959662786709,0.976512101163987,0.4688126059119402,0.08975840843813637
S2,1,40,0.2,0.8,0.023487898836012988,0.976512101163987,-0.7155239478179208,0.09995028484326891
S2,1,60,0.2,0.8,0.023487898836012988,0.976512101163987,-0.6996822884003071,0.08028321925516003
S2,1,80,0.2,1.0,0.0,1.0,-0.7216875976343021,0.22742545858122348
S2,1,100,0.2,1.0,0.0,1.0,-0.7763711791918759,0.3365294461982536
S2,1,10,0.4,0.6666666666666666,0.0,1.0,0.23187536830114616,0.5223459960129421
S2,1,20,0.4,0.8,0.5012487030999995,0.997502593800001,0.5393516375752634,0.06934030498006202
S2,1,40,0.4,0.6,0.023487898836012988,0.976512101163987,-0.7492560543201194,0.16069058408775116
S2,1,60,0.4,0.6,0.5117439494180065,0.976512101163987,0.5339643854676281,0.032136019062704
S2,1,80,0.4,0.6,0.023487898836012988,0.976512101163987,-0.6545843973708146,0.05373324930416888
S2,1,100,0.4,0.6,0.5117439494180065,0.976512101163987,0.5822318167694984,0.011935834962927157
S2,1,10,0.6,0.4,0.5117439494180065,0.976512101163987,0.4938474574894082,0.05196492299930672
S2,1,20,0.6,0.42105263157894735,0.5800412096806458,0.8399175806387085,0.16705033748977627,0.3156924622470381
S2,1,40,0.6,0.4,0.5800412096806458,0.8399175806387085,0.5555456599448126,0.03704528337932278
S2,1,60,0.6,0.42857142857142855,0.5800412096806458,0.8399175806387085,0.3714232989956789,0.1904805841702676
S2,1,80,0.6,0.4383561643835616,0.5800412096806458,0.8399175806387085,0.3667932041640395,0.19433899652996708
S2,1,100,0.6,0.41237113402061853,0.5800412096806458,0.8399175806387085,0.4464808848478504,0.12793259596012463
S2,1,10,0.8,0.2,0.023487898836012988,0.976512101163987,-0.6636288606236016,0.04107462757633415
S2,1,20,0.8,0.2,0.023487898836012988,0.976512101163987,-0.792092370132337,0.18974029669346437
S2,1,40,0.8,0.2,0.023487898836012988,0.976512101163987,-0.830174691969447,0.2404116264032488
S2,1,60,0.8,0.2,0.023487898836012988,0.976512101163987,-0.6784791941404993,0.06265685691030808
S2,1,80,0.8,0.2,0.5800412096806458,0.8399175806387085,0.5323626032247587,0.056364497312701066
S2,1,100,0.8,0.2,0.5117439494180065,0.976512101163987,0.5596162038820884,0.029273617414940528
S2,2,10,0.0,1.0,0.0,1.0,-0.757168229538131,0.3495763835483476
S2,2,20,0.0,0.95,0.0,1.0,-0.6908311471327698,0.2032161020209599
S2,2,40,0.0,1.0,0.0,1.0,-0.7538996044215631,0.38474901105390785
S2,2,60,0.0,0.6333333333333333,0.0,1.0,-0.801690346584506,0.11009138679356
S2,2,80,0.0,0.65,0.0,1.0,-0.8074426855178111,0.09511828012720519
S2,2,100,0.0,0.67,0.0,1.0,-0.8174939238171763,0.09979098247539284
S2,2,10,0.2,0.75,0.0,1.0,-0.7494137318526908,0.11492067163690056
S2,2,20,0.2,0.8125,0.0,1.0,-0.7348851041664219,0.11292637060035901
S2,2,40,0.2,0.65625,0.0,1.0,-0.8230214394364304,0.1317087398593308
