Scene,Sindex,Num,Noise_Rate,Jaccard,LIP,MLMSSM
S2,1,20,0.0,1.0,0.16008241936129153,0.8399175806387085
S2,1,20,0.2,0.8,0.16008241936129153,0.8399175806387085
S2,1,20,0.4,0.6,0.16008241936129153,0.8399175806387085
S2,1,20,0.6,0.4,0.16008241936129153,0.8399175806387085
S2,1,20,0.8,0.2,0.16008241936129153,0.8399175806387085
S2,2,20,0.0,1.0,0.09032160834851599,0.909678391651484
S2,2,20,0.2,0.8,0.09032160834851599,0.909678391651484
S2,2,20,0.4,0.6,0.09032160834851599,0.909678391651484
S2,2,20,0.6,0.4,0.09032160834851599,0.909678391651484
S2,2,20,0.8,0.2,0.09032160834851599,0.909678391651484
S2,3,20,0.0,1.0,0.8563263051034412,0.14367369489655876
S2,3,20,0.2,0.8,0.8563263051034412,0.14367369489655876
S2,3,20,0.4,0.6,0.8563263051034412,0.14367369489655876
S2,3,20,0.6,0.4,0.8563263051034412,0.14367369489655876
S2,3,20,0.8,0.2,0.8563263051034412,0.14367369489655876
S2,4,20,0.0,1.0,0.13389362533986993,0.8661063746601301
S2,4,20,0.2,0.8,0.13389362533986993,0.8661063746601301
S2,4,20,0.4,0.6,0.13389362533986993,0.8661063746601301
S2,4,20,0.6,0.4,0.13389362533986993,0.8661063746601301
S2,4,20,0.8,0.2,0.13389362533986993,0.8661063746601301
S2,5,20,0.0,1.0,0.23892384881258055,0.7610761511874194
S2,5,20,0.2,0.8,0.23892384881258055,0.7610761511874194
S2,5,20,0.4,0.6,0.23892384881258055,0.7610761511874194
S2,5,20,0.6,0.4,0.23892384881258055,0.7610761511874194
S2,5,20,0.8,0.2,0.23892384881258055,0.7610761511874194
Scene,Sindex,Num,Noise_Rate,Jaccard,LIP,MLMSSM
S3,1,20,0.0,1.0,0.5439006778439985,0.45609932215600146
S3,1,20,0.2,0.8,0.5439006778439985,0.45609932215600146
S3,1,20,0.4,0.6,0.5439006778439985,0.45609932215600146
S3,1,20,0.6,0.4,0.5439006778439985,0.45609932215600146
