Scene,Sindex,Num,Noise_Rate,Jaccard,LIP,MLMSSM
S2,1,20,0.0,1.0,0.0,1.0
S2,1,20,0.2,0.8,0.023487898836012988,0.976512101163987
S2,1,20,0.4,0.6,0.023487898836012988,0.976512101163987
S2,1,20,0.6,0.4,0.023487898836012988,0.976512101163987
S2,1,20,0.8,0.2,0.023487898836012988,0.976512101163987
S2,2,20,0.0,1.0,0.023388194857824396,0.9766118051421756
S2,2,20,0.2,0.8,0.023388194857824396,0.9766118051421756
S2,2,20,0.4,0.6,0.5116940974289121,0.9766118051421756
S2,2,20,0.6,0.4,0.5116940974289121,0.9766118051421756
S2,2,20,0.8,0.2,0.5116940974289121,0.9766118051421756
S2,3,20,0.0,1.0,0.38433521242907154,0.6156647875709285
S2,3,20,0.2,0.8,0.7852732154771529,0.21472678452284708
S2,3,20,0.4,0.6,0.7852732154771529,0.21472678452284708
S2,3,20,0.6,0.4444444444444444,0.7852732154771529,0.21472678452284708
S2,3,20,0.8,0.2222222222222222,0.8926366077385764,0.21472678452284708
S2,4,20,0.0,1.0,0.03529882216333535,0.9647011778366646
S2,4,20,0.2,0.8421052631578947,0.03529882216333535,0.9647011778366646
S2,4,20,0.4,0.6,0.5176494110816676,0.9647011778366646
S2,4,20,0.6,0.47058823529411764,0.03529882216333535,0.9647011778366646
S2,4,20,0.8,0.2,0.5176494110816676,0.9647011778366646
S2,5,20,0.0,0.8,0.0,1.0
S2,5,20,0.2,0.7,0.5763726273330799,0.8472547453338402
S2,5,20,0.4,0.5789473684210527,0.5763726273330799,0.8472547453338402
S2,5,20,0.6,0.42105263157894735,0.6666666666666667,1.0
S2,5,20,0.8,0.16666666666666666,0.5763726273330799,0.8472547453338402
Scene,Sindex,Num,Noise_Rate,Jaccard,LIP,MLMSSM
S3,1,20,0.0,1.0,0.008805442078259174,0.9911945579217408
S3,1,20,0.2,0.8421052631578947,0.4609412584159196,0.5390587415840804
S3,1,20,0.4,0.75,0.4149756773309634,0.5850243226690366
S3,1,20,0.6,0.42105263157894735,0.7304706292079598,0.5390587415840804
S3,1,20,0.8,0.2222222222222222,0.7304706292079598,0.5390587415840804
S3,2,20,0.0,1.0,0.2582945881309444,0.7417054118690556
S3,2,20,0.2,0.9411764705882353,0.6786123782169236,0.32138762178307645
S3,2,20,0.4,0.7058823529411765,0.8608409530378063,0.13915904696219375
S3,2,20,0.6,0.42105263157894735,0.9536136510126021,0.13915904696219375
S3,2,20,0.8,0.25,0.9304204765189031,0.13915904696219375
S3,3,20,0.0,1.0,0.0,1.0
S3,3,20,0.2,0.8,0.5983312075364945,0.803337584927011
S3,3,20,0.4,0.6,0.09395705987105685,0.9060429401289432
S3,3,20,0.6,0.42105263157894735,0.5469785299355284,0.9060429401289432
S3,3,20,0.8,0.25,0.09395705987105685,0.9060429401289432
S3,4,20,0.0,1.0,0.38433521242907154,0.6156647875709285
S3,4,20,0.2,0.8421052631578947,0.8563263051034412,0.14367369489655876
S3,4,20,0.4,0.7058823529411765,0.9085938128777548,0.09140618712224526
S3,4,20,0.6,0.5,0.8563263051034412,0.14367369489655876
S3,4,20,0.8,0.23529411764705882,0.9281631525517207,0.14367369489655876
S3,5,20,0.0,1.0,0.013225719563530025,0.98677428043647
S3,5,20,0.2,0.8888888888888888,0.16411283336646432,0.8358871666335357
S3,5,20,0.4,0.7058823529411765,0.6236742682537467,0.7526514634925066
S3,5,20,0.6,0.6153846153846154,0.3761395244186124,0.6238604755813876
S3,5,20,0.8,0.21052631578947367,0.7491161788358311,0.7526514634925066
Scene,Sindex,Num,Noise_Rate,Jaccard,LIP,MLMSSM
S4,1_2,20,0.0,0.85,0.023487898836012988,0.4882560505819935
S4,1_2,20,0.2,0.8,0.023438046846918636,0.9765619531530814
S4,1_2,20,0.4,0.6,0.023438046846918636,0.9765619531530814
S4,1_2,20,0.6,0.42105263157894735,0.056904753592264434,0.9430952464077356
S4,1_2,20,0.8,0.2,0.023438046846918636,0.9765619531530814
S4,1_3,20,0.0,1.0,0.42816315255172066,0.5718368474482793
S4,1_3,20,0.2,0.8,0.43990710196972715,0.5600928980302728
S4,1_3,20,0.4,0.6,0.5671317013279298,0.6493024480081053
S4,1_3,20,0.6,0.4,0.40438055715658294,0.5956194428434171
S4,1_3,20,0.8,0.21052631578947367,0.40438055715658294,0.5956194428434171
S4,1_4,20,0.0,1.0,0.01764941108166762,0.9823505889183324
S4,1_4,20,0.2,0.8,0.029393360499674115,0.9706066395003259
S4,1_4,20,0.4,0.6,0.029393360499674115,0.9706066395003259
S4,1_4,20,0.6,0.4,0.029393360499674115,0.9706066395003259
S4,1_4,20,0.8,0.21052631578947367,0.029393360499674115,0.9706066395003259
S4,1_5,20,0.0,0.95,0.011743949418006494,0.9882560505819935
S4,1_5,20,0.2,0.8,0.4376092246758171,0.8435861629862743
S4,1_5,20,0.4,0.5263157894736842,0.08811657675108642,0.9118834232489136
S4,1_5,20,0.6,0.3125,0.023487898836012988,0.4882560505819935
S4,1_5,20,0.8,0.10526315789473684,0.19950313408693598,0.800496865913064
S4,2_3,20,0.0,1.0,0.3506477000028003,0.6493522999971997
S4,2_3,20,0.2,0.8,0.4398572499806328,0.5601427500193672
S4,2_3,20,0.4,0.55,0.4377974119128345,0.5622025880871655
S4,2_3,20,0.6,0.42105263157894735,0.4377974119128345,0.5622025880871655
S4,2_3,20,0.8,0.21052631578947367,0.6028871367783257,0.5956692948325113
S4,2_4,20,0.0,1.0,0.029343508510579874,0.9706564914894201
S4,2_4,20,0.2,0.8421052631578947,0.06281021525592567,0.9371897847440743
S4,2_4,20,0.4,0.6666666666666666,0.029343508510579874,0.9706564914894201
S4,2_4,20,0.6,0.4444444444444444,0.029343508510579874,0.9706564914894201
S4,2_4,20,0.8,0.2222222222222222,0.06281021525592567,0.9371897847440743
S4,2_5,20,0.0,1.0,0.011694097428912142,0.9883059025710879
S4,2_5,20,0.2,0.7,0.08806672476199218,0.9119332752380078
S4,2_5,20,0.4,0.6666666666666666,0.13115602183520247,0.8688439781647975
