Scene,Sindex,Num,Noise_Rate,Jaccard,LIP,MLMSSM
S2,1,20,0.0,1.0,0.0,1.0
S2,1,20,0.2,0.8,0.023487898836012988,0.976512101163987
S2,1,20,0.4,0.6,0.023487898836012988,0.976512101163987
S2,1,20,0.6,0.4,0.023487898836012988,0.976512101163987
S2,1,20,0.8,0.2,0.023487898836012988,0.976512101163987
S2,2,20,0.0,0.7,0.0,1.0
S2,2,20,0.2,0.75,0.0,1.0
S2,2,20,0.4,0.75,0.0,1.0
S2,2,20,0.6,0.5833333333333334,0.023388194857824396,0.9766118051421756
S2,2,20,0.8,0.2,0.09032160834851599,0.909678391651484
S2,3,20,0.0,1.0,0.0,1.0
S2,3,20,0.2,1.0,0.0,1.0
S2,3,20,0.4,1.0,0.6089584587699637,0.39104154123003626
S2,3,20,0.6,0.4444444444444444,0.7852732154771529,0.21472678452284708
S2,3,20,0.8,0.23529411764705882,0.7852732154771529,0.21472678452284708
S2,4,20,0.0,1.0,0.0,1.0
S2,4,20,0.2,1.0,0.0,1.0
S2,4,20,0.4,1.0,0.0,1.0
S2,4,20,0.6,0.47058823529411764,0.03529882216333535,0.9647011778366646
S2,4,20,0.8,0.2857142857142857,0.03529882216333535,0.9647011778366646
S2,5,20,0.0,0.8,0.0,1.0
S2,5,20,0.2,0.6666666666666666,0.15274525466615985,0.8472547453338402
S2,5,20,0.4,0.6,0.23892384881258055,0.7610761511874194
S2,5,20,0.6,0.4,0.23892384881258055,0.7610761511874194
S2,5,20,0.8,0.2,0.23892384881258055,0.7610761511874194
Scene,Sindex,Num,Noise_Rate,Jaccard,LIP,MLMSSM
S3,1,20,0.0,0.65,0.0,1.0
S3,1,20,0.2,0.6875,0.0,1.0
S3,1,20,0.4,0.8333333333333334,0.33731710678814253,0.6626828932118575
S3,1,20,0.6,0.5,0.4609412584159196,0.5390587415840804
S3,1,20,0.8,0.2,0.5439006778439985,0.45609932215600146
S3,2,20,0.0,0.95,0.0,1.0
S3,2,20,0.2,0.9375,0.0,1.0
S3,2,20,0.4,0.9166666666666666,0.7085466500483653,0.2914533499516347
S3,2,20,0.6,0.4375,0.9156314623788956,0.08436853762110438
S3,2,20,0.8,0.2,0.9156314623788956,0.08436853762110438
S3,3,20,0.0,1.0,0.0,1.0
S3,3,20,0.2,1.0,0.0,1.0
S3,3,20,0.4,0.8571428571428571,0.00639357271651908,0.9936064272834809
S3,3,20,0.6,0.7272727272727273,0.09395705987105685,0.9060429401289432
S3,3,20,0.8,0.15384615384615385,0.15755210478230608,0.8424478952176939
S3,4,20,0.0,1.0,0.0,1.0
S3,4,20,0.2,1.0,0.12660810550703705,0.873391894492963
S3,4,20,0.4,1.0,0.7304087662086962,0.2695912337913038
S3,4,20,0.6,0.8888888888888888,0.7304087662086962,0.2695912337913038
S3,4,20,0.8,0.2,0.9085938128777548,0.09140618712224526
S3,5,20,0.0,0.6,0.0,1.0
S3,5,20,0.2,0.8125,0.07008311143976331,0.9299168885602367
S3,5,20,0.4,0.9230769230769231,0.07008311143976331,0.9299168885602367
S3,5,20,0.6,0.4,0.3761395244186124,0.6238604755813876
S3,5,20,0.8,0.2,0.3761395244186124,0.6238604755813876
Scene,Sindex,Num,Noise_Rate,Jaccard,LIP,MLMSSM
S4,1_2,20,0.0,0.85,0.011743949418006494,0.9882560505819935
S4,1_2,20,0.2,0.7222222222222222,0.056904753592264434,0.9430952464077356
S4,1_2,20,0.4,0.6428571428571429,0.012942800528911724,0.9870571994710883
S4,1_2,20,0.6,0.5,0.023438046846918636,0.9765619531530814
S4,1_2,20,0.8,0.16666666666666666,0.023438046846918636,0.9765619531530814
S4,1_3,20,0.0,0.75,0.3652043831043481,0.6347956168956519
S4,1_3,20,0.2,0.6470588235294118,0.3652043831043481,0.6347956168956519
S4,1_3,20,0.4,0.631578947368421,0.39263660773857645,0.6073633922614236
S4,1_3,20,0.6,0.4,0.27220881589518153,0.7277911841048185
S4,1_3,20,0.8,0.2,0.42816315255172066,0.5718368474482793
S4,1_4,20,0.0,0.75,0.08004120968064576,0.9199587903193542
S4,1_4,20,0.2,0.4444444444444444,0.011743949418006494,0.9882560505819935
S4,1_4,20,0.4,0.5555555555555556,0.08004120968064576,0.9199587903193542
S4,1_4,20,0.6,0.5,0.029393360499674115,0.9706066395003259
S4,1_4,20,0.8,0.2,0.14698802235058073,0.8530119776494193
S4,1_5,20,0.0,1.0,0.11946192440629022,0.8805380755937098
S4,1_5,20,0.2,0.8,0.3419751560369776,0.6580248439630224
S4,1_5,20,0.4,0.6,0.19950313408693598,0.800496865913064
S4,1_5,20,0.6,0.4,0.3701113735912902,0.6298886264087098
S4,1_5,20,0.8,0.2,0.3701113735912902,0.6298886264087098
S4,2_3,20,0.0,0.65,0.30447922938498184,0.6955207706150182
S4,2_3,20,0.2,0.7647058823529411,0.39263660773857645,0.6073633922614236
S4,2_3,20,0.4,0.7857142857142857,0.3652043831043481,0.6347956168956519
S4,2_3,20,0.6,0.4,0.42816315255172066,0.5718368474482793
S4,2_3,20,0.8,0.2,0.04516080417425794,0.9548391958257421
S4,2_4,20,0.0,0.6,0.01764941108166762,0.9823505889183324
S4,2_4,20,0.2,0.8,0.04516080417425794,0.9548391958257421
S4,2_4,20,0.4,0.75,0.01764941108166762,0.9823505889183324
S4,2_4,20,0.6,0.4,0.06281021525592567,0.9371897847440743
S4,2_4,20,0.8,0.2,0.06694681266993496,0.933053187330065
S4,2_5,20,0.0,0.85,0.019723583597292094,0.9802764164027079
S4,2_5,20,0.2,0.8,0.11946192440629022,0.8805380755937098
S4,2_5,20,0.4,0.6666666666666666,0.13115602183520247,0.8688439781647975
S4,2_5,20,0.6,0.4,0.11946192440629022,0.8805380755937098
S4,2_5,20,0.8,0.2,0.13115602183520247,0.8688439781647975
S4,3_4,20,0.0,0.7,0.3652043831043481,0.6347956168956519
S4,3_4,20,0.2,0.7647058823529411,0.40714381850263004,0.59285618149737
S4,3_4,20,0.4,0.47058823529411764,0.39263660773857645,0.6073633922614236
