Scene,Sindex,Num,Noise_Rate,Jaccard,LIP,MLMSSM,best_argminC,best_avgConf,Graph_time,Cluster_time
S2,1,10,0.0,0.8,0.5,1.0,0.5470259159838335,0.13269072607887838,0.034905195236206055,0.4198787212371826
S2,1,20,0.0,1.0,0.5,1.0,0.6334972080739786,0.08385845014246199,0.025929689407348633,0.08178186416625977
S2,1,40,0.0,1.0,0.5,1.0,0.6985569266988008,0.0018283777497749762,0.04089093208312988,0.05585026741027832
S2,1,60,0.0,1.0,0.5,1.0,0.6545416216566893,0.05514276617333933,0.07679438591003418,0.058843135833740234
S2,1,80,0.0,1.0,0.5,1.0,0.6516062749654277,0.06035611144838733,0.11569046974182129,0.0967416763305664
S2,1,100,0.0,1.0,0.0,1.0,-0.7443384357125712,0.12282173247239866,0.18949341773986816,0.057845115661621094
S2,1,10,0.2,0.6666666666666666,0.5117439494180065,0.976512101163987,0.34790647261810415,0.2080296973460205,0.01196742057800293,0.16057133674621582
S2,1,20,0.2,0.6842105263157895,0.6744959662786709,0.976512101163987,0.4688126059119403,0.13558148863672917,0.04787111282348633,0.3400914669036865
S2,1,40,0.2,0.8,0.5117439494180065,0.976512101163987,0.670045586990881,0.016928963795381155,0.05585050582885742,0.10272598266601562
S2,1,60,0.2,0.9411764705882353,0.5,1.0,0.6402432973568306,0.07089392259699426,0.09574413299560547,0.12466669082641602
S2,1,80,0.2,0.8,0.5117439494180065,0.976512101163987,0.3953282629464599,0.17747534838760254,0.16954755783081055,0.2892262935638428
S2,1,100,0.2,0.9090909090909091,0.5012487030999995,0.997502593800001,0.44667692313719254,0.27749941697585156,0.3281221389770508,0.4358353614807129
S2,1,10,0.4,0.6666666666666666,0.0,1.0,0.23187536830114616,0.5693483889824793,0.08975791931152344,0.9315121173858643
S2,1,20,0.4,0.631578947368421,0.16008241936129153,0.8399175806387085,0.4505947168893013,0.0,0.05086231231689453,0.24933505058288574
S2,1,40,0.4,0.625,0.5,1.0,0.6176802242212923,0.1072339704218402,0.08876299858093262,0.27426695823669434
S2,1,60,0.4,0.6,0.5800412096806458,0.8399175806387085,0.410787819462195,0.05958783325312441,0.30718064308166504,0.5804462432861328
S2,1,80,0.4,0.6,0.5117439494180065,0.976512101163987,0.6058515877059361,0.05791218372820198,0.38496875762939453,0.9843699932098389
S2,1,100,0.4,0.6,0.5117439494180065,0.976512101163987,0.5915756903452469,0.06242947130609826,0.3201422691345215,0.6981356143951416
S2,1,10,0.6,0.4,0.5117439494180065,0.976512101163987,0.4938474574894082,0.08650113246178165,0.05186104774475098,0.49767017364501953
S2,1,20,0.6,0.4,0.5800412096806458,0.8399175806387085,0.19876117928498496,0.31327426294688443,0.08776116371154785,0.6532580852508545
S2,1,40,0.6,0.41935483870967744,0.6674991353999997,0.997502593800001,0.6145455002222799,0.07179451254722635,0.2742648124694824,1.2117621898651123
S2,1,60,0.6,0.4,0.5117439494180065,0.976512101163987,0.6238074007308462,0.04710498547256148,0.13164687156677246,0.1954789161682129
S2,1,80,0.6,0.4,0.7078477988844236,0.8764566033467293,0.5822187948730676,0.13014513958974488,0.24534320831298828,0.6353027820587158
S2,1,100,0.6,0.41237113402061853,0.5800412096806458,0.8399175806387085,0.4464808848478504,0.18108508225153538,0.4478027820587158,0.6253283023834229
S2,1,10,0.8,0.125,0.5818209521810539,0.8363580956378922,0.565542336334143,0.17767619841559673,0.035903215408325195,0.32912135124206543
S2,1,20,0.8,0.2,0.5514558087350405,0.897088382529919,0.4733713969838902,0.15305429935019937,0.10172462463378906,0.809838056564331
