Scene,Sindex,Num,Noise_Rate,Jaccard,LIP,MLMSSM,best_argminC,best_avgConf,,,
S2,1,20,0,0.75,0,1,-0.755719131,0.15694993,,,
S2,1,20,0.2,1,0,1,-0.784069681,0.227365177,,,
S2,1,20,0.4,0.6,0.023487899,0.976512101,-0.782764126,0.092353923,,,
S2,1,20,0.6,0.4,0.160082419,0.839917581,-0.550495656,0,,,
S2,1,20,0.8,0.2,0.023487899,0.976512101,-0.651220302,-0.06144724,,,
S2,2,20,0,0.75,0,1,-0.796319265,0.117444269,,,
S2,2,20,0.2,1,0,1,-0.715770845,0.049941009,,,
S2,2,20,0.4,1,0,1,-0.815059097,0.345177291,,,
S2,2,20,0.6,0.571428571,0.023388195,0.976611805,-0.772671462,0.062277808,,,
S2,2,20,0.8,0.333333333,0.023388195,0.976611805,-0.625587096,-0.192297122,,,
S2,3,20,0,1,0,1,-0.989372464,0.96457488,,,
S2,3,20,0.2,1,0.513011135,0.486988865,-0.952811432,0.256217934,,,
S2,3,20,0.4,0.705882353,0.785273215,0.214726785,-0.878675191,0.112187698,,,
S2,3,20,0.6,0.666666667,0.730408766,0.269591234,-0.857989728,0.047255942,,,
S2,3,20,0.8,0.333333333,0.785273215,0.214726785,-0.408895997,-0.239416937,,,
S2,4,20,0,1,0,1,-0.753512232,0.178374106,,,
S2,4,20,0.2,1,0,1,-0.817598133,0.372394088,,,
S2,4,20,0.4,1,0,1,-0.832143751,0.396431252,,,
S2,4,20,0.6,0.533333333,0.035298822,0.964701178,-0.687831807,-0.035490562,,,
S2,4,20,0.8,0.2,0.133893625,0.866106375,-0.556058842,0,,,
S2,5,20,0,1,0,1,-0.730595882,0.088425903,,,
S2,5,20,0.2,0.941176471,0,1,-0.529916089,-0.445571601,,,
S2,5,20,0.4,0.6,0.238923849,0.761076151,-0.721167315,0,,,
S2,5,20,0.6,0.4,0.238923849,0.761076151,-0.648147763,0,,,
S2,5,20,0.8,0.2,0.238923849,0.761076151,-0.465706153,0,0.687406162,0.158150597,0.841849403
Scene,Sindex,Num,Noise_Rate,Jaccard,LIP,MLMSSM,best_argminC,best_avgConf,,,
S3,1,20,0,1,0,1,-0.844847858,0.482295269,,,
S3,1,20,0.2,1,0,1,-0.843293368,0.447762636,,,
S3,1,20,0.4,0.833333333,0.255048321,0.744951679,-0.854230022,0.407628037,,,
S3,1,20,0.6,0.4,0.543900678,0.456099322,-0.834399537,0,,,
S3,1,20,0.8,0.2,0.543900678,0.456099322,-0.661595551,0,,,
S3,2,20,0,1,0.064192005,0.935807995,-1,0.859318967,,,
S3,2,20,0.2,1,0,1,-0.901446978,0.603537378,,,
S3,2,20,0.4,0.923076923,0.748014691,0.251985309,-0.892159482,0.229922873,,,
S3,2,20,0.6,0.470588235,0.828988671,0.171011329,-0.381979056,-0.659178728,,,
S3,2,20,0.8,0.2,0.938064815,0.061935185,-0.560546624,0,,,
S3,3,20,0,1,0,1,-0.78185102,0.272836734,,,
S3,3,20,0.2,1,0,1,-0.849689056,0.464659779,,,
S3,3,20,0.4,0.8,0.09395706,0.90604294,-0.617598106,-0.25865039,,,
S3,3,20,0.6,0.5,0.09395706,0.90604294,-0.771415511,0.214246533,,,
S3,3,20,0.8,0.266666667,0.196662415,0.803337585,-0.836648294,0.398557523,,,
S3,4,20,0,1,0,1,-0.99114372,0.970479067,,,
S3,4,20,0.2,1,0,1,-0.954936783,0.818499474,,,
S3,4,20,0.4,1,0.363645242,0.636354758,-0.895367421,0.167805619,,,
S3,4,20,0.6,0.666666667,0.814287637,0.185712363,-0.815494495,0.088592034,,,
S3,4,20,0.8,0.285714286,0.856326305,0.143673695,-0.743735106,0.114645524,,,
S3,5,20,0,0.8,0,1,-0.935626389,0.67829253,,,
S3,5,20,0.2,1,0.023487899,0.976512101,-0.830351719,0.175177516,,,
S3,5,20,0.4,0.631578947,0.278646194,0.721353806,-0.672857632,-0.063344484,,,
S3,5,20,0.6,0.4,0.376139524,0.623860476,-0.530390007,0,,,
S3,5,20,0.8,0.055555556,0.650862658,0.349137342,-0.494162922,-0.459830732,0.697327225,0.306803274,0.693196726
Scene,Sindex,Num,Noise_Rate,Jaccard,LIP,MLMSSM,best_argminC,best_avgConf,,,
S4,1_2,20,0,0.75,0,1,0.601812954,0.082634269,,,
S4,1_2,20,0.2,0.882352941,0,1,0.52186249,0.100954898,,,
S4,1_2,20,0.4,0.857142857,0.011694097,0.988305903,0.597802441,0.053156387,,,
S4,1_2,20,0.6,0.4375,0.056904754,0.943095246,0.490041889,0.060532472,,,
S4,1_2,20,0.8,0.2,0.023438047,0.976561953,0.556350117,0.132353096,,,
S4,1_3,20,0,0.9,0,1,0.402944795,0.387076804,,,
S4,1_3,20,0.2,0.8,0.428163153,0.571836847,0.409554393,0.394551833,,,
S4,1_3,20,0.4,0.705882353,0.011743949,0.988256051,0.24167702,0.393093626,,,
