Scene,Sindex,Num,Noise_Rate,Jaccard,LIP,MLMSSM,best_argminC,best_avgConf,,,
S2,1,20,0,0.75,0.666666667,1,0.670121173,0.040482084,,,
S2,1,20,0.2,0.777777778,0.58004121,0.839917581,0.307692308,0.528106509,,,
S2,1,20,0.4,0.666666667,0.58004121,0.839917581,0.553550346,0.097134975,,,
S2,1,20,0.6,0,1,0,1.1,0,,,
S2,1,20,0.8,0.25,0.720027473,0.839917581,0.654455267,0.065063904,,,
S2,2,20,0,1,0.5,1,0.576068376,0.175320711,,,
S2,2,20,0.2,0.8,0.5,1,0.662006579,0.054276316,,,
S2,2,20,0.4,1,0,1,-0.742890875,0.128672626,,,
S2,2,20,0.6,0.4,0.511694097,0.976611805,0.626952922,0.104352968,,,
S2,2,20,0.8,0.2,0.674462732,0.976611805,0.676341029,0.033047451,,,
S2,3,20,0,1,0,1,-1,1,,,
S2,3,20,0.2,1,0,1,-0.943852687,0.778617352,,,
S2,3,20,0.4,1,0,1,-0.883516484,0.546951088,,,
S2,3,20,0.6,0.777777778,0.384335212,0.615664788,-0.867452025,0.505014043,,,
S2,3,20,0.8,0.4,0.928163153,0.143673695,0.538165266,0.21553882,,,
S2,4,20,0,1,0.5,1,0.656167611,0.060878317,,,
S2,4,20,0.2,1,0,1,-0.799460846,0.314959345,,,
S2,4,20,0.4,0.666666667,0.5,1,0.689814815,0.013620886,,,
S2,4,20,0.6,0.470588235,0.035298822,0.964701178,-0.762919107,0.19400058,,,
S2,4,20,0.8,0.2,0.678432941,0.964701178,0.687974461,0.01700039,,,
S2,5,20,0,0.7,0.672019657,0.983941028,0.659175054,0.055659861,,,
S2,5,20,0.2,0.842105263,0.619461924,0.761076151,0.418320106,0,,,
S2,5,20,0.4,0.8,0.74630795,0.761076151,0.579100529,0.170314731,,,
S2,5,20,0.6,0.727272727,0.619461924,0.761076151,0.6,0.142857143,,,
S2,5,20,0.8,0.222222222,0.74630795,0.761076151,0.53625,0.233928571,0.666043093,0.486508917,0.847598513
Scene,Sindex,Num,Noise_Rate,Jaccard,LIP,MLMSSM,best_argminC,best_avgConf,,,
S3,1,20,0,0.95,0,1,-0.774902795,0.247595349,,,
S3,1,20,0.2,0.9375,0,1,-0.830056848,0.403100171,,,
S3,1,20,0.4,1,0.255048321,0.744951679,-0.801077922,0.299022186,,,
S3,1,20,0.6,0.5,0.751682774,0.744951679,0.667598176,0.044221878,,,
S3,1,20,0.8,0.266666667,0.794778404,0.615664788,0.677655341,0.031388925,,,
S3,2,20,0,0.95,0.108511503,0.891488497,-0.753035157,0.174574059,,,
S3,2,20,0.2,0.9375,0.108511503,0.891488497,-0.792326546,0.296440626,,,
S3,2,20,0.4,0.916666667,0.108511503,0.891488497,-0.892948718,0.58420584,,,
S3,2,20,0.6,0.571428571,0.913468674,0.173062653,0.254792826,0.591742489,,,
S3,2,20,0.8,0.285714286,0.949477114,0.101045771,0.173611111,0.728484623,,,
S3,3,20,0,0.85,0.5,1,0.618094204,0.113525891,,,
S3,3,20,0.2,0.875,0,1,-0.750026877,0.155291765,,,
S3,3,20,0.4,0.6875,0.5,1,0.67991453,0.027518986,,,
S3,3,20,0.6,0.533333333,0.09395706,0.90604294,-0.768630119,0.200171181,,,
S3,3,20,0.8,0.333333333,0.09395706,0.90604294,-0.866778581,0.504724654,,,
S3,4,20,0,1,0,1,-1,1,,,
S3,4,20,0.2,1,0,1,-0.873684211,0.542382271,,,
S3,4,20,0.4,1,0,1,-0.838095238,0.408870215,,,
S3,4,20,0.6,0.470588235,0.666666667,1,0.626778725,0.103771649,,,
S3,4,20,0.8,0.4,0.856326305,0.143673695,-0.835714286,0.41468254,,,
S3,5,20,0,0.6,0.01322572,0.98677428,-0.836681034,0.42143319,,,
S3,5,20,0.2,0.722222222,0.623674268,0.752651463,0.687038452,0.017689868,,,
S3,5,20,0.4,0.857142857,0.247348537,0.752651463,-0.73043183,0.095099469,,,
S3,5,20,0.6,0.615384615,0.623674268,0.752651463,0.542857143,0.216472303,,,
S3,5,20,0.8,0.25,0.749116179,0.752651463,0.512573696,0.264033087,0.700399231,0.358317434,0.800291271
Scene,Sindex,Num,Noise_Rate,Jaccard,LIP,MLMSSM,best_argminC,best_avgConf,,,
S4,1_2,20,0,0.8,0.333333333,1,0.661755897,0.051713008,,,
S4,1_2,20,0.2,0.8125,0.08004121,0.91995879,0.630850631,0.094394377,,,
S4,1_2,20,0.4,0.5625,0.023388195,0.488305903,-0.705594113,0.016057178,,,
S4,1_2,20,0.6,0.411764706,0.416801343,0.874797986,0.57005848,0.175317924,,,
S4,1_2,20,0.8,0.166666667,0.394490205,0.908264693,0.651088865,0.067377584,,,
S4,1_3,20,0,0.8,0,1,0.27004636,0.592958042,,,
S4,1_3,20,0.2,0.888888889,0.38669414,0.91995879,0.632900787,0.093532236,,,
S4,1_3,20,0.4,0.75,0.08004121,0.91995879,0.478257275,0.291711779,,,
S4,1_3,20,0.6,0.4375,0.508204362,0.491795638,0.455900273,0.326919278,,,
S4,1_3,20,0.8,0.333333333,0.508204362,0.491795638,0.639334522,0.082090985,,,
S4,1_4,20,0,0.75,0.035298822,0.482350589,-0.735510568,0.105908711,,,
