Scene,Sindex,Num,Noise_Rate,Jaccard,LIP,MLMSSM,best_argminC,best_avgConf,,,
S2,1,20,0,0.75,0,1,-0.754106132,0.152406427,,,
S2,1,20,0.2,1,0,1,-0.782110994,0.222067939,,,
S2,1,20,0.4,0.666666667,0.58004121,0.839917581,0.680665785,0.026239292,,,
S2,1,20,0.6,0.352941176,0.720027473,0.839917581,0.493905896,0.283905144,,,
S2,1,20,0.8,0.266666667,0.720027473,0.839917581,0.624440163,0.103114007,,,
S2,2,20,0,1,0,1,-0.765853659,0.219512195,,,
S2,2,20,0.2,0.842105263,0.5,1,0.65106538,0.069407268,,,
S2,2,20,0.4,1,0,1,-0.778086776,0.234260327,,,
S2,2,20,0.6,0.470588235,0.023388195,0.976611805,-0.743112647,0.132930661,,,
S2,2,20,0.8,0.2,0.674462732,0.976611805,0.590599528,0.154839292,,,
S2,3,20,0,1,0,1,-1,1,,,
S2,3,20,0.2,1,0,1,-0.905702587,0.639869931,,,
S2,3,20,0.4,1,0,1,-0.836712557,0.403695763,,,
S2,3,20,0.6,0.615384615,0.5,1,0.649290966,0.068215724,,,
S2,3,20,0.8,0.266666667,0.952108768,0.143673695,0.653559113,0.059618306,,,
S2,4,20,0,1,0,1,-0.754312439,0.181041464,,,
S2,4,20,0.2,1,0,1,-0.802035954,0.323113855,,,
S2,4,20,0.4,1,0,1,-0.81327459,0.33982377,,,
S2,4,20,0.6,0.571428571,0.5,1,0.63076393,0.093609992,,,
S2,4,20,0.8,0.285714286,0.517649411,0.964701178,0.521869489,0.235836572,,,
S2,5,20,0,1,0.5,1,0.680837493,0.024645118,,,
S2,5,20,0.2,0.823529412,0.666666667,1,0.628207726,0.090673027,,,
S2,5,20,0.4,0.923076923,0.619461924,0.761076151,0.618181818,0.116883117,,,
S2,5,20,0.6,0.388888889,0.74630795,0.761076151,0.678787879,0.02958153,,,
S2,5,20,0.8,0.235294118,0.74630795,0.761076151,0.351190476,0.49829932,0.70635806,0.35865799,0.914583187
Scene,Sindex,Num,Noise_Rate,Jaccard,LIP,MLMSSM,best_argminC,best_avgConf,0.70635806,0.391698056,0.914583187
S3,1,20,0,1,0,1,-0.844646503,0.481624822,,,
S3,1,20,0.2,1,0,1,-0.837705586,0.430301953,,,
S3,1,20,0.4,1,0.255048321,0.744951679,-0.832736451,0.393293187,,,
S3,1,20,0.6,0.375,0.543900678,0.456099322,-0.77948589,0.183565557,,,
S3,1,20,0.8,0.2,0.707487839,0.585024323,0.562905844,0.088131957,,,
S3,2,20,0,1,0.108511503,0.891488497,-0.875292082,0.57914999,,,
S3,2,20,0.2,1,0.108511503,0.891488497,-0.893690356,0.62136888,,,
S3,2,20,0.4,0.923076923,0.826937347,0.173062653,-0.767276277,0.199337117,,,
S3,2,20,0.6,0.666666667,0.554255751,0.891488497,0.244605163,0.599006306,,,
S3,2,20,0.8,0.266666667,0.942312449,0.173062653,0.493102797,0.284483655,,,
S3,3,20,0,1,0,1,-0.756160991,0.187203302,,,
S3,3,20,0.2,1,0,1,-0.834752821,0.418295216,,,
S3,3,20,0.4,0.666666667,0.5,1,0.571871102,0.168493814,,,
S3,3,20,0.6,0.666666667,0.09395706,0.90604294,-0.740047121,0.119438782,,,
S3,3,20,0.8,0.266666667,0.196662415,0.803337585,-0.832396942,0.394868072,,,
S3,4,20,0,1,0,1,-1,1,,,
S3,4,20,0.2,1,0,1,-0.954936783,0.818499474,,,
S3,4,20,0.4,1,0.856326305,0.143673695,-0.848362385,0.432867625,,,
S3,4,20,0.6,0.615384615,0.856326305,0.143673695,-0.766042583,0.185564873,,,
S3,4,20,0.8,0.25,0.928163153,0.143673695,0.65,0.069642857,,,
S3,5,20,0,0.8,0.01322572,0.98677428,-0.937462555,0.737863686,,,
S3,5,20,0.2,0.75,0.07222907,0.92777093,-0.875028,0.481665928,,,
S3,5,20,0.4,0.666666667,0.67107524,0.98677428,0.690215477,0.013778879,,,
S3,5,20,0.6,0.444444444,0.749116179,0.752651463,0.551574492,0.204575898,,,
S3,5,20,0.8,0.307692308,0.623674268,0.752651463,0.337384259,0.491042149,0.714623932,0.384308844,0.734147606
Scene,Sindex,Num,Noise_Rate,Jaccard,LIP,MLMSSM,best_argminC,best_avgConf,0.714623932,0.384308844,0.782103455
S4,1_2,20,0,0.95,0.333333333,1,0.696336865,0.004898725,,,
S4,1_2,20,0.2,0.8,0.333333333,1,0.67658328,0.021429358,,,
S4,1_2,20,0.4,0.555555556,0.091735307,0.908264693,0.658570516,0.056908631,,,
S4,1_2,20,0.6,0.5,0.394490205,0.908264693,0.497037037,0.280886243,,,
S4,1_2,20,0.8,0.210526316,0.394490205,0.908264693,0.585174059,0.164037059,,,
S4,1_3,20,0,0.9,0.08004121,0.91995879,0.536546733,0.225787645,,,
S4,1_3,20,0.2,0.705882353,0.160082419,0.41995879,-0.711572666,0.033953556,,,
S4,1_3,20,0.4,0.611111111,0.38669414,0.91995879,0.620482429,0.100546648,,,
S4,1_3,20,0.6,0.294117647,0.160082419,0.41995879,-0.719848443,0.046745246,,,
S4,1_3,20,0.8,0.1875,0.508204362,0.491795638,0.680480413,0.022173927,,,
S4,1_4,20,0,0.9,0.035298822,0.482350589,-0.821501014,0.384753212,,,
S4,1_4,20,0.2,0.736842105,0.38669414,0.91995879,0.67089599,0.040632222,,,
S4,1_4,20,0.4,0.6,0.097690621,0.902309379,0.662903124,0.022884436,,,
S4,1_4,20,0.6,0.411764706,0.398460414,0.902309379,0.683845413,0.021704292,,,
S4,1_4,20,0.8,0.266666667,0.398460414,0.902309379,0.620357143,0.106592713,,,
S4,1_5,20,0,0.8,0.38669414,0.91995879,0.645430363,0.068688742,,,
S4,1_5,20,0.2,0.75,0.119461924,0.880538076,0.584701896,0.157035149,,,
S4,1_5,20,0.4,0.923076923,0.160082419,0.41995879,-0.75070028,0,,,
S4,1_5,20,0.6,0.444444444,0.199503134,0.800496866,0.432560903,0.191027926,,,
S4,1_5,20,0.8,0.210526316,0.199503134,0.800496866,0.392135724,0.390026842,,,
S4,2_3,20,0,0.9,0,1,0.114735862,0.783944279,,,
S4,2_3,20,0.2,1,0,1,0.285815091,0.5572731,,,
S4,2_3,20,0.4,0.75,0.011694097,0.988305903,0.12745098,0.759503802,,,
S4,2_3,20,0.6,0.5,0.43985725,0.56014275,0.484162415,0.283500955,,,
S4,2_3,20,0.8,0.235294118,0.43985725,0.56014275,0.387643924,0.400523967,,,
S4,2_4,20,0,1,0,1,0.600563668,0.142051903,,,
S4,2_4,20,0.2,0.8125,0,1,0.544433068,0.202630448,,,
S4,2_4,20,0.4,0.6,0.090321608,0.454839196,-0.741037662,0,,,
S4,2_4,20,0.6,0.5,0.029343509,0.970656491,0.603909833,0.124123307,,,
S4,2_4,20,0.8,0.222222222,0.07864091,0.92135909,0.607088989,0.132730015,,,
S4,2_5,20,0,0.8,0.023388195,0.488305903,-0.718841707,0.057847345,,,
S4,2_5,20,0.2,0.823529412,0.131156022,0.868843978,0.630831044,0.095724895,,,
