Scene,Sindex,Num,Noise_Rate,Jaccard,LIP,MLMSSM,best_argminC,best_avgConf,Graph_time,Cluster_time
S2,1,10,0.0,1.0,0.0,1.0,-0.8097777803015038,0.3398854314870757,0.021941661834716797,0.11668801307678223
S2,1,20,0.0,0.9,0.5,1.0,0.680326191283424,0.024966365223075368,0.039893150329589844,0.2782557010650635
S2,1,40,0.0,1.0,0.5,1.0,0.5165521214211255,0.2259367164175889,0.05087018013000488,0.1695406436920166
S2,1,60,0.0,1.0,0.5,1.0,0.685734162664415,0.018141237370676327,0.08477377891540527,0.10671424865722656
S2,1,80,0.0,0.7375,0.5,1.0,0.659329837572481,0.048786277905312626,0.1266613006591797,0.1874990463256836
S2,1,100,0.0,1.0,0.5,1.0,0.6912236295325782,0.010805166164230936,0.12566399574279785,0.18450665473937988
S2,1,10,0.2,0.7777777777777778,0.5244658317884664,0.9510683364230672,0.6502636225081798,0.061133805717147466,0.019947052001953125,0.4587726593017578
S2,1,20,0.2,1.0,0.0,1.0,-0.7840696806049953,0.2273651771025062,0.0827786922454834,0.22539710998535156
S2,1,40,0.2,0.8,0.6744959662786709,0.976512101163987,0.6483643033002892,0.03288321858886013,0.2573103904724121,3.2961888313293457
S2,1,60,0.2,0.8,0.5117439494180065,0.976512101163987,0.5800985185675419,0.05181898888537764,0.1515941619873047,0.5734663009643555
S2,1,80,0.2,0.8,0.6744959662786709,0.976512101163987,0.592259329324595,0.064196980785654,0.1874990463256836,0.6652216911315918
S2,1,100,0.2,1.0,0.0,1.0,-0.7370287043644843,0.09698400027325112,0.22539782524108887,0.38197851181030273
S2,1,10,0.4,0.75,0.5117439494180065,0.976512101163987,0.41511127320385144,0.12028710990876026,0.14162325859069824,2.8154709339141846
S2,1,20,0.4,0.6,0.023487898836012988,0.976512101163987,-0.7827641259066227,0.09235392255482239,0.07379913330078125,0.5794546604156494
S2,1,40,0.4,0.6,0.6674991353999997,0.997502593800001,0.6306196524960601,0.05358081462098501,0.10471916198730469,0.7629611492156982
S2,1,60,0.4,0.5818181818181818,0.6744959662786709,0.976512101163987,0.5932305450017202,0.06468978619346939,0.2632932662963867,1.6595659255981445
S2,1,80,0.4,0.7164179104477612,0.6674991353999997,0.997502593800001,0.6400404014838302,0.07092323758931708,0.4039180278778076,1.2187435626983643
S2,1,100,0.4,0.6060606060606061,0.7200274731204306,0.8399175806387085,0.652334414468722,0.04539579574407426,0.2962069511413574,0.8966033458709717
