Scene,Sindex,Num,Noise_Rate,Jaccard,LIP,MLMSSM,best_argminC,best_avgConf,,,
S2,1,20,0,1,0.5,1,0.633497208,0.08385845,,,
S2,1,20,0.2,0.684210526,0.674495966,0.976512101,0.468812606,0.135581489,,,
S2,1,20,0.4,0.631578947,0.160082419,0.839917581,0.450594717,0,,,
S2,1,20,0.6,0.4,0.58004121,0.839917581,0.198761179,0.313274263,,,
S2,1,20,0.8,0.2,0.551455809,0.897088383,0.473371397,0.153054299,,,
S2,2,20,0,1,0.5,1,0.556027796,0.150558286,,,
S2,2,20,0.2,0.8125,0,1,-0.735743432,0.0398994,,,
S2,2,20,0.4,1,0,1,-0.801097568,0.303292705,,,
S2,2,20,0.6,0.4,0.511694097,0.976611805,0.625155948,0.106920075,,,
S2,2,20,0.8,0.222222222,0.674462732,0.976611805,0.673125783,0.021604593,,,
S2,3,20,0,1,0,1,-0.996673649,0.988912164,,,
S2,3,20,0.2,1,0,1,0.487487984,0.295155578,,,
S2,3,20,0.4,0.857142857,0.5,1,0.327642109,0.498693604,,,
S2,3,20,0.6,0.470588235,0.856326305,0.143673695,-0.824944698,0.32733431,,,
S2,3,20,0.8,0.25,0.86965282,0.391041541,0.597592519,0.058323917,,,
S2,4,20,0,1,0.5,1,0.639893431,0.084673936,,,
S2,4,20,0.2,1,0,1,-0.803803819,0.328712092,,,
S2,4,20,0.4,0.529411765,0.035298822,0.964701178,-0.723692757,0.065283425,,,
S2,4,20,0.6,0.470588235,0.035298822,0.964701178,-0.770429338,0.217157126,,,
S2,4,20,0.8,0.176470588,0.517649411,0.964701178,0.584441635,0.15218624,,,
S2,5,20,0,0.9,0.74630795,0.761076151,0.507660646,0.26459382,,,
S2,5,20,0.2,0.8,0.619461924,0.761076151,0.288406141,0,,,
S2,5,20,0.4,0.6,0.576372627,0.847254745,0.39236116,0.044153261,,,
S2,5,20,0.6,0.4,0.619461924,0.761076151,0.476345741,0.044226173,,,
S2,5,20,0.8,0.2,0.238923849,0.761076151,0.111891692,0,0.640188535,0.410679468,0.873081495
Scene,Sindex,Num,Noise_Rate,Jaccard,LIP,MLMSSM,best_argminC,best_avgConf,,,
S3,1,20,0,1,0,1,-0.802226963,0.340381842,,,
S3,1,20,0.2,1,0,1,-0.857953104,0.49357133,,,
S3,1,20,0.4,0.583333333,0.337317107,0.662682893,-0.902468395,0.130676534,,,
S3,1,20,0.6,0.571428571,0.62752416,0.744951679,0.466631623,0.208807438,,,
S3,1,20,0.8,0.2,0.732912065,0.534175869,0.614115289,0.015621087,,,
S3,2,20,0,1,0,1,-0.817086727,0.34347021,,,
S3,2,20,0.2,0.842105263,0.844521758,0.466434727,0.45490297,0.080161486,,,
S3,2,20,0.4,0.6875,0.764322278,0.471355444,0.61671246,0.031327901,,,
S3,2,20,0.6,0.411764706,0.822902322,0.531293033,0.621076947,0.047591231,,,
S3,2,20,0.8,0.2,0.969032407,0.061935185,0.305945371,0.07955364,,,
S3,3,20,0,0.85,0.5,1,0.617942879,0.113706229,,,
S3,3,20,0.2,1,0,1,-0.784659612,0.263137693,,,
S3,3,20,0.4,0.857142857,0.006393573,0.993606427,-0.730139418,0.068676007,,,
S3,3,20,0.6,0.533333333,0.09395706,0.90604294,-0.820421442,0.351229205,,,
S3,3,20,0.8,0.333333333,0.09395706,0.90604294,-0.863504307,0.483700242,,,
S3,4,20,0,1,0,1,-0.990258092,0.967526973,,,
S3,4,20,0.2,0.842105263,0.804479229,0.391041541,0.427689761,0.098976862,,,
S3,4,20,0.4,1,0.730408766,0.269591234,0.505355834,0.051883771,,,
S3,4,20,0.6,0.571428571,0.5,1,0.407923633,0.255339948,,,
S3,4,20,0.8,0.2,0.954296906,0.091406187,0.600402159,0.002975426,,,
S3,5,20,0,0.8,0,1,-0.938123793,0.699445917,,,
S3,5,20,0.2,0.9375,0.07222907,0.92777093,-0.938443745,0.666412306,,,
S3,5,20,0.4,0.8,0.278646194,0.721353806,-0.889164961,0.425465332,,,
S3,5,20,0.6,0.470588235,0.721370944,0.835887167,0.676736298,0.027140147,,,
S3,5,20,0.8,0.1875,0.752884042,0.494231917,0.421520216,0.059261163,0.675162539,0.424286198,0.720392157
Scene,Sindex,Num,Noise_Rate,Jaccard,LIP,MLMSSM,best_argminC,best_avgConf,,,
S4,1_2,20,0,0.85,0.001248703,0.998751297,0.673645863,0.016126918,,,
S4,1_2,20,0.2,0.8,0.08004121,0.91995879,0.580987416,0.02532895,,,
S4,1_2,20,0.4,0.6875,0.012942801,0.987057199,0.620381842,0.040258418,,,
S4,1_2,20,0.6,0.368421053,0.416801343,0.874797986,0.6029977,0.058885627,,,
S4,1_2,20,0.8,0.166666667,0.023438047,0.976561953,0.580071074,0.116606835,,,
S4,1_3,20,0,1,0,1,0.314844886,0.510317561,,,
S4,1_3,20,0.2,0.823529412,0.428163153,0.571836847,0.282497705,0.538134714,,,
S4,1_3,20,0.4,0.8,0.011743949,0.988256051,0.362982661,0.331813842,,,
S4,1_3,20,0.6,0.352941176,0.584632222,0.623051667,0.612913967,0.035891359,,,
S4,1_3,20,0.8,0.2,0.508204362,0.491795638,0.679178053,0.014129179,,,
