Scene,Sindex,Num,Noise_Rate,Jaccard,LIP,MLMSSM,best_argminC,best_avgConf,inertia,silhouette,calinski_harabasz
S2,1,20,0.0,0.9,0.5,1.0,0.680326191283424,0.024966365223075368,0.2740691671464384,0.6575404418548296,47.51318022615868
S2,1,20,0.2,1.0,0.0,1.0,-0.7840696806049953,0.2273651771025062,1.0,-1.0,0.0
S2,1,20,0.4,0.6,0.023487898836012988,0.976512101163987,-0.7827641259066227,0.09235392255482239,1.0,-1.0,0.0
S2,1,20,0.6,0.4,0.7200274731204306,0.8399175806387085,0.4803867066613298,0.13714416310225733,0.33529981289115907,0.6147684986951878,42.06314737270159
S2,1,20,0.8,0.2,0.5800412096806458,0.8399175806387085,0.4973461847091135,0.14475272520777605,0.13555729868568772,0.7786350268568257,114.00221659555697
S2,2,20,0.0,0.75,0.0,1.0,-0.8047875203634869,0.12776980520798661,1.0,-1.0,0.0
S2,2,20,0.2,0.8421052631578947,0.5,1.0,0.6472779556046482,0.05471103698584573,0.008809048357504476,0.955004757754689,1813.7092905113475
S2,2,20,0.4,1.0,0.0,1.0,-0.8190409337805271,0.3571228013415814,1.0,-1.0,0.0
S2,2,20,0.6,0.5714285714285714,0.023388194857824396,0.9766118051421756,-0.7726714621726034,0.06227780845649486,1.0,-1.0,0.0
S2,2,20,0.8,0.2222222222222222,0.6744627316192748,0.9766118051421756,0.5886360666413247,0.12525552634345408,0.16841952159619816,0.7819386245788246,86.2874305547442
S2,3,20,0.0,1.0,0.0,1.0,-0.989372463956161,0.9645748798538699,1.0,-1.0,0.0
S2,3,20,0.2,1.0,0.5130111351249478,0.48698886487505216,-0.9528114322562732,0.2562179341638342,1.0,-1.0,0.0
S2,3,20,0.4,0.7333333333333333,0.6516065300156342,0.6967869399687315,0.0011597719187221394,0.6538931959448084,0.00679591220470564,0.9743985771638902,2282.3534045458623
S2,3,20,0.6,0.6666666666666666,0.5633040527535185,0.873391894492963,0.593994055145359,0.051228727122855075,0.12087936168985605,0.8026718370855227,107.77175140179001
S2,3,20,0.8,0.3076923076923077,0.9281631525517207,0.14367369489655876,0.2940882532299681,0.5436318037098642,0.09247098355509512,0.8236705743969438,165.58412817566645
S2,4,20,0.0,1.0,0.0,1.0,-0.7535122318582697,0.1783741061942323,1.0,-1.0,0.0
S2,4,20,0.2,1.0,0.0,1.0,-0.8175981329421211,0.37239408765005033,1.0,-1.0,0.0
S2,4,20,0.4,1.0,0.0,1.0,-0.8321437505924999,0.39643125177749977,1.0,-1.0,0.0
S2,4,20,0.6,0.5714285714285714,0.5,1.0,0.6561899405869251,0.059232988492167474,0.20262445990508454,0.6948898284699399,70.14220269163114
S2,4,20,0.8,0.2857142857142857,0.5176494110816676,0.9647011778366646,0.5354498036017656,0.2178568617537951,0.17077739638513828,0.6928056226246669,84.77917877393149
S2,5,20,0.0,0.75,0.6194619244062902,0.7610761511874194,0.5099751877298039,0.14073547923450772,0.12870786826564692,0.7758599954735702,107.2114992947022
S2,5,20,0.2,0.8,0.6194619244062902,0.7610761511874194,0.3568778873419397,0.06354881350205027,0.19284358987581546,0.7145581608140112,74.64721928022446
S2,5,20,0.4,0.6,0.6194619244062902,0.7610761511874194,0.5014650925866703,0.14181064815237834,0.315401251220163,0.7533563648211533,38.28367820321982
S2,5,20,0.6,0.4375,0.6194619244062902,0.7610761511874194,0.47601590991808046,0.19065275394870185,0.29925157054585877,0.6370919941118272,42.14100754448418
S2,5,20,0.8,0.2,0.6194619244062902,0.7610761511874194,0.280555539914589,0.29960318577529355,0.21287856753676626,0.7036216013235619,66.40716532763953
Scene,Sindex,Num,Noise_Rate,Jaccard,LIP,MLMSSM,best_argminC,best_avgConf,inertia,silhouette,calinski_harabasz
S3,1,20,0.0,1.0,0.0,1.0,-0.8448478582338278,0.4822952687938775,1.0,-1.0,0.0
S3,1,20,0.2,1.0,0.0,1.0,-0.8432933675734068,0.4477626356944208,1.0,-1.0,0.0
S3,1,20,0.4,0.8333333333333334,0.25504832084193996,0.74495167915806,-0.8523152115309113,0.40256721671118445,1.0,-1.0,0.0
S3,1,20,0.6,0.4,0.5439006778439985,0.45609932215600146,-0.8343995365748008,0.0,1.0,-1.0,0.0
S3,1,20,0.8,0.2,0.7074878386654817,0.5850243226690366,0.5837725829711442,0.07471762523283584,0.19506884694611834,0.6719466826119604,74.21494707416032
S3,2,20,0.0,1.0,0.0,1.0,-1.0,0.9181852819790148,1.0,-1.0,0.0
S3,2,20,0.2,1.0,0.0,1.0,-0.9030131251459173,0.3163928913977416,1.0,-1.0,0.0
S3,2,20,0.4,0.9230769230769231,0.7480146911199266,0.25198530888007337,-0.8910470118808421,0.2285917793049885,1.0,-1.0,0.0
