Scene,Sindex,Num,Noise_Rate,gamma,Jaccard,LIP,MLMSSM,best_argminC,best_avgConf
S2,1,20,0.0,0.7,0.9,0.5,1.0,0.6440270911753714,0.06644129295700278
S2,1,20,0.0,0.7,0.9,0.5,1.0,0.680326191283424,0.024966365223075368
S2,1,20,0.0,0.7,0.75,0.0,1.0,-0.7792251039530911,0.23227606611372914
S2,1,20,0.0,0.7,0.75,0.0,1.0,-0.8047506281170846,0.31796069156567225
S2,1,20,0.0,0.7,0.75,0.0,1.0,-0.8194739065227661,0.36772066232180534
S2,1,20,0.0,0.7,0.75,0.0,1.0,-0.8251083767545493,0.390344945699427
S2,1,20,0.2,0.7,1.0,0.0,1.0,-0.7720258178242912,0.1802207485092948
S2,1,20,0.2,0.7,1.0,0.0,1.0,-0.7840696806049953,0.2273651771025062
S2,1,20,0.2,0.7,1.0,0.0,1.0,-0.7960611583576179,0.27042800803264827
S2,1,20,0.2,0.7,0.8,0.004742346666987585,0.9952576533330124,-0.8183801973873331,0.22356982169554665
S2,1,20,0.2,0.7,1.0,0.0,1.0,-0.8233458886728598,0.36447538143998603
S2,1,20,0.2,0.7,0.8,0.0002376531195940057,0.999762346880406,-0.8130876632830211,0.24782204222338702
S2,1,20,0.4,0.7,0.6,0.8252703055724924,0.1747296944275077,-0.7496776379140904,0.0
S2,1,20,0.4,0.7,0.6,0.023487898836012988,0.976512101163987,-0.7827641259066227,0.09235392255482239
S2,1,20,0.4,0.7,0.6,0.08352982555965938,0.9164701744403406,-0.8098867019413413,0.0
S2,1,20,0.4,0.7,0.6,0.03428865299689121,0.9657113470031088,-0.847514021633477,0.0
S2,1,20,0.4,0.7,0.6,0.0023739912507230176,0.997626008749277,-0.8544521686656011,0.3126497350738684
S2,1,20,0.4,0.7,0.6,0.0002376531195940057,0.999762346880406,-0.8222798508622953,0.27087913049881057
S2,1,20,0.6,0.7,0.35294117647058826,0.7371820395995985,0.7884538812012044,0.40521264896002396,0.12718611849431197
S2,1,20,0.6,0.7,0.4,0.7200274731204306,0.8399175806387085,0.48038670666132977,0.13714416310225735
S2,1,20,0.6,0.7,0.3125,0.6945099418532198,0.9164701744403406,0.5308531627681039,0.12146473933325268
S2,1,20,0.6,0.7,0.35294117647058826,0.6837620252597829,0.9487139242206512,0.5846344775046375,0.05027388403721527
