Scene,Folder,P,Q,Jaccard score,Precision,Recall
S5,1_2,"[0.4, 0.6]","[0, 1]",0.95,0.003923476,0.003923476
S5,1_4,"[0.4, 0.6]","[0, 1]",0.95,0.010339279,0.010339279
S5,1_5,"[0.4, 0.6]","[0, 1]",0.85,0.206243605,0.103121802
S5,1_6,"[0.4, 0.6]","[0, 1]",1,0.010339279,0.010339279
S5,1_7,"[0.4, 0.6]","[0, 1]",0.9,0.046480959,0.046480959
S5,2_4,"[0.4, 0.6]","[0, 1]",0.9,5.92E-09,5.92E-09
S5,2_5,"[0.4, 0.6]","[0, 1]",0.85,0.103121803,0.103121803
S5,2_6,"[0.4, 0.6]","[0, 1]",0.95,3.78E-10,3.78E-10
S5,2_7,"[0.4, 0.6]","[0, 1]",0.75,0.084592736,0.042296368
S5,4_5,"[0.4, 0.6]","[0, 1]",0.95,0.206243605,0.103121802
S5,4_6,"[0.4, 0.6]","[0, 1]",1,2.45E-14,2.45E-14
S5,4_7,"[0.4, 0.6]","[0, 1]",0.85,0.061867277,0.061867277
S5,5_6,"[0.4, 0.6]","[0, 1]",0.75,0.206243605,0.103121802
S5,5_7,"[0.4, 0.6]","[0, 1]",1,0.10999272,0.16498908
S5,6_7,"[0.4, 0.6]","[0, 1]",0.85,0.000916818,0.000916818
noiseRate,0,SamNum,20,min_support,0.05024265,
S5,1_2,"[0.4, 0.6]","[0, 1]",0.95,0.140416466,0.140416466
S5,1_4,"[0.4, 0.6]","[0, 1]",0.8,0.222712463,0.111356232
S5,1_5,"[0.4, 0.6]","[0, 1]",0.9,0.950416877,0.475208439
S5,1_6,"[0.4, 0.6]","[0, 1]",1,0.034876456,0.034876456
S5,1_7,"[0.4, 0.6]","[0, 1]",1,0.439988911,0.659983366
S5,2_4,"[0.4, 0.6]","[0, 1]",0.95,0.099267919,0.148901878
S5,2_5,"[0.4, 0.6]","[0, 1]",0.9,0.563900271,0.563900271
S5,2_6,"[0.4, 0.6]","[0, 1]",0.75,0.177383666,0.088691833
S5,2_7,"[0.4, 0.6]","[0, 1]",0.7,0.262517293,0.131258646
S5,4_5,"[0.4, 0.6]","[0, 1]",0.9,0.950416877,0.475208439
S5,4_6,"[0.4, 0.6]","[0, 1]",1,0.036420553,0.036420553
S5,4_7,"[0.4, 0.6]","[0, 1]",1,0.101570428,0.152355642
S5,5_6,"[0.4, 0.6]","[0, 1]",0.9,0.500927075,0.500927075
S5,5_7,"[0.4, 0.6]","[0, 1]",0.9,0.567502715,0.567502715
S5,6_7,"[0.4, 0.6]","[0, 1]",1,0.078418249,0.078418249
noiseRate,0,SamNum,20,,0.277695084,
S2,1,"[0.4, 0.6]","[0, 1]",1,1,1
S2,2,"[0.4, 0.6]","[0, 1]",0.45,0.955735573,0.955735573
S2,3,"[0.4, 0.6]","[0, 1]",0.9,0.971290885,0.971290885
S2,4,"[0.4, 0.6]","[0, 1]",1,0.492248219,0.984496437
S2,5,"[0.4, 0.6]","[0, 1]",1,0.984496437,0.984496437
noiseRate,0,SamNum,20,avg_Recall,0.979203866,
S2,1,"[0.4, 0.6]","[0, 1]",1,1,1
S2,2,"[0.4, 0.6]","[0, 1]",0.8,0.458635088,0.917270175
S2,3,"[0.4, 0.6]","[0, 1]",0.8,0.904495892,0.904495892
S2,4,"[0.4, 0.6]","[0, 1]",1,0.469706531,0.939413063
S2,5,"[0.4, 0.6]","[0, 1]",0.9,0.469706531,0.939413063
noiseRate,0,SamNum,20,min_support,0.940118439,
S3,1,"[0.4, 0.6]","[0, 1]",0.95,0.386115416,0.386115416
S3,2,"[0.4, 0.6]","[0, 1]",1,0.104805694,0.209611387
S3,4,"[0.4, 0.6]","[0, 1]",1,0.053591995,0.053591995
S3,5,"[0.4, 0.6]","[0, 1]",0.85,0.950416877,0.950416877
S3,6,"[0.4, 0.6]","[0, 1]",1,0.046770622,0.046770622
S3,7,"[0.4, 0.6]","[0, 1]",0.95,0.184588554,0.184588554
noiseRate,0,SamNum,20,avg_Recall,0.305182475,
S4,1_2,"[0.4, 0.6]","[0, 1]",0.85,0.941561528,0.941561528
S4,1_3,"[0.4, 0.6]","[0, 1]",0.9,0.943090471,0.943090471
S4,1_4,"[0.4, 0.6]","[0, 1]",0.85,0.778800783,0.778800783
S4,1_5,"[0.4, 0.6]","[0, 1]",1,0.996942113,0.498471057
S4,2_3,"[0.4, 0.6]","[0, 1]",0.55,0.886180942,0.443090471
S4,2_4,"[0.4, 0.6]","[0, 1]",0.85,0.912797003,0.912797003
S4,2_5,"[0.4, 0.6]","[0, 1]",0.8,0.905004586,0.905004586
S4,3_4,"[0.4, 0.6]","[0, 1]",0.8,0.627030192,0.627030192
S4,3_5,"[0.4, 0.6]","[0, 1]",0.8,0.700392259,0.700392259
S4,4_5,"[0.4, 0.6]","[0, 1]",0.9,0.623832529,0.623832529
noiseRate,0,SamNum,20,avg_Recall,0.737407088,
S5,1_2,"[0.4, 0.6]","[0, 1]",0.85,0.481979759,0.481979759
S5,1_4,"[0.4, 0.6]","[0, 1]",0.95,0.138152229,0.138152229
S5,1_5,"[0.4, 0.6]","[0, 1]",1,0.950416877,0.475208439
S5,1_6,"[0.4, 0.6]","[0, 1]",1,0.200900993,0.301351489
S5,1_7,"[0.4, 0.6]","[0, 1]",0.65,0.089003099,0.044501549
S5,2_4,"[0.4, 0.6]","[0, 1]",1,0.076991887,0.115487831
S5,2_5,"[0.4, 0.6]","[0, 1]",1,0.375933514,0.563900271
S5,2_6,"[0.4, 0.6]","[0, 1]",0.9,0.112077144,0.112077144
S5,2_7,"[0.4, 0.6]","[0, 1]",0.95,0.18098611,0.18098611
S5,4_5,"[0.4, 0.6]","[0, 1]",0.95,0.502004436,0.502004436
S5,4_6,"[0.4, 0.6]","[0, 1]",0.8,0.032920154,0.016460077
S5,4_7,"[0.4, 0.6]","[0, 1]",0.85,0.07949561,0.07949561
S5,5_6,"[0.4, 0.6]","[0, 1]",0.95,0.49859375,0.49859375
S5,5_7,"[0.4, 0.6]","[0, 1]",0.85,0.30453229,0.30453229
S5,6_7,"[0.4, 0.6]","[0, 1]",0.95,0.069159689,0.069159689
noiseRate,0,SamNum,20,avg_Recall,0.258926045,
