Scene,Folder,p,q,Jaccard,Precision,Recall,argminC,avgConf,,,,,,,,,,,,,,,,,,,,,,,
S2,1,"[0, 0.2]","[0, 1]",1,1,1,-0.830593891,0.237970014,,,,,,,,,,,,,,,,,,,,,,,
S2,1,"[0.2, 0.4]","[0, 1]",1,1,1,-1,0.550979038,,,,,,,,,,,,,,,,,,,,,,,
S2,1,"[0.4, 0.6]","[0, 1]",1,1,1,-1,0.676132658,,,,,,,,,,,,,,,,,,,,,,,
S2,1,"[0.6, 0.8]","[0, 1]",1,1,1,-1,0.430363451,,,,,,,,,,,,,,,,,,,,,,,
S2,1,"[0.8, 1.0]","[0, 1]",1,1,1,-1,0.570105248,,,,,,,,,,,,,,,,,,,,,,,
S2,2,"[0, 0.2]","[0, 1]",0.7,0.254361658,0.254361658,-0.982934359,0.104284327,,,,,,,,,,,,,,,,,,,,,,,
S2,2,"[0.2, 0.4]","[0, 1]",0.4,0.236607498,0.236607498,-1,0.141420945,,,,,,,,,,,,,,,,,,,,,,,
S2,2,"[0.4, 0.6]","[0, 1]",0.75,0.236607498,0.236607498,-1,0.150539471,,,,,,,,,,,,,,,,,,,,,,,
S2,2,"[0.6, 0.8]","[0, 1]",1,1,1,-0.975,0.975,,,,,,,,,,,,,,,,,,,,,,,
S2,2,"[0.8, 1.0]","[0, 1]",1,0.18404074,0.18404074,-0.788404385,0.8,,,,,,,,,,,,,,,,,,,,,,,
S2,3,"[0, 0.2]","[0, 1]",0.4,0.207081452,0.207081452,-0.973507493,0.081102067,,,,,,,,,,,,,,,,,,,,,,,
S2,3,"[0.2, 0.4]","[0, 1]",0.9,0.414386392,0.414386392,-0.881481481,0.85,,,,,,,,,,,,,,,,,,,,,,,
S2,3,"[0.4, 0.6]","[0, 1]",0.8,0.30033883,0.30033883,-1,0.845310163,,,,,,,,,,,,,,,,,,,,,,,
S2,3,"[0.6, 0.8]","[0, 1]",1,1,1,-0.997795691,0.816228757,,,,,,,,,,,,,,,,,,,,,,,
S2,3,"[0.8, 1.0]","[0, 1]",1,0.414386392,0.414386392,-1,1,,,,,,,,,,,,,,,,,,,,,,,
S2,4,"[0, 0.2]","[0, 1]",1,0.237227149,0.237227149,-0.941875,0.96,,,,,,,,,,,,,,,,,,,,,,,
S2,4,"[0.2, 0.4]","[0, 1]",0.7,0.619043921,0.619043921,-1,0.304387352,,,,,,,,,,,,,,,,,,,,,,,
S2,4,"[0.4, 0.6]","[0, 1]",1,0.393396721,0.786793442,0.670413323,0.259473119,,,,,,,,,,,,,,,,,,,,,,,
S2,4,"[0.6, 0.8]","[0, 1]",1,1,1,-0.900596698,0.675048634,,,,,,,,,,,,,,,,,,,,,,,
S2,4,"[0.8, 1.0]","[0, 1]",1,0.393396721,0.786793442,0.606906061,0.262189886,,,,,,,,,,,,,,,,,,,,,,,
S5,1_2,"[0.4, 0.6]","[0, 1]",1,0.290470455,0.290470455,0.099883995,0.523577452,,,,,,,,,,,,,,,,,,,,,,,
S5,1_4,"[0.4, 0.6]","[0, 1]",1,0.150395777,0.225593665,0.549238006,0.590411953,,,,,,,,,,,,,,,,,,,,,,,
S5,1_5,"[0.4, 0.6]","[0, 1]",1,0.350264489,0.175132245,-0.78254492,0.335691244,,,,,,,,,,,,,,,,,,,,,,,
S5,1_6,"[0.4, 0.6]","[0, 1]",1,0.300105929,0.450158894,0.530030653,0.564295324,,,,,,,,,,,,,,,,,,,,,,,
S5,1_7,"[0.4, 0.6]","[0, 1]",1,0.447886773,0.447886773,0.232994271,0.66538509,,,,,,,,,,,,,,,,,,,,,,,
S5,2_4,"[0.4, 0.6]","[0, 1]",1,0.275504555,0.275504555,0.117008493,0.467819015,,,,,,,,,,,,,,,,,,,,,,,
S5,2_5,"[0.4, 0.6]","[0, 1]",1,0.328848255,0.493272383,0.513998473,0.55741173,,,,,,,,,,,,,,,,,,,,,,,
S5,2_6,"[0.4, 0.6]","[0, 1]",1,0.297730912,0.446596367,0.506128883,0.48682845,,,,,,,,,,,,,,,,,,,,,,,
S5,2_7,"[0.4, 0.6]","[0, 1]",1,0.55097217,0.55097217,0.437065219,0.434955142,,,,,,,,,,,,,,,,,,,,,,,
S5,4_5,"[0.4, 0.6]","[0, 1]",0.9,0.491145207,0.245572603,-0.602221044,0.348635656,,,,,,,,,,,,,,,,,,,,,,,
S5,4_6,"[0.4, 0.6]","[0, 1]",1,0.228509885,0.228509885,0.507862297,0.473063562,,,,,,,,,,,,,,,,,,,,,,,
S5,4_7,"[0.4, 0.6]","[0, 1]",1,0.640253931,0.640253931,0.168899865,0.458444554,,,,,,,,,,,,,,,,,,,,,,,
S5,5_6,"[0.4, 0.6]","[0, 1]",1,0.40633527,0.609502905,0.530016772,0.49260414,,,,,,,,,,,,,,,,,,,,,,,
S5,5_7,"[0.4, 0.6]","[0, 1]",1,0.626000601,0.626000601,0.27623554,0.415055636,,,,,,,,,,,,,,,,,,,,,,,
S5,6_7,"[0.4, 0.6]","[0, 1]",1,0.602440965,0.602440965,0.082558426,0.711613358,,S5,0.4-0.6,,,,,,,,,,,,,,,,,,,,
SamNum,10,min_support,0.3,gamma,0.6,avg_Recall,0.42052456,,,Presicion,10,20,30,40,50,60,70,80,,,,,,,,,,,,,
S5,1_2,"[0.4, 0.6]","[0, 1]",1,0.279753935,0.279753935,0.103658125,0.556069327,,,0.279753935,0.455084104,0.337093593,0.284686181,0.435646851,0.340382144,0.377301653,0.414088153,,,,,,,,,,,,,
S5,1_4,"[0.4, 0.6]","[0, 1]",1,0.147624277,0.147624277,0.443227659,0.64622777,,,0.147624277,0.224426304,0.274514938,0.28257226,0.248298791,0.224863727,0.231696759,0.269216096,,,,,,,,,,,,,
S5,1_5,"[0.4, 0.6]","[0, 1]",1,0.639257319,0.639257319,0.434119121,0.79897662,,,0.639257319,0.579369344,0.539195387,0.407304515,0.395629462,0.524091432,0.48996849,0.464517753,,,,,,,,,,,,,
