Scene,Index,P,Q,Jaccard,Precision,Recall,20,30,,,,,,,,,,
S2,1,"[0, 0.2]","[0, 1]",1,0.5,1,,1,0.5,1,,1,0.5,1,,1,0.333333333,1
S2,1,"[0.2, 0.4]","[0, 1]",1,0.5,1,,1,0.5,1,,1,0.5,1,,0.95,0.261287503,0.522575007
S2,1,"[0.4, 0.6]","[0, 1]",1,0.5,1,,1,0.333333333,1,,1,0.333333333,1,,1,0.242507655,0.727522966
S2,1,"[0.6, 0.8]","[0, 1]",0.888888889,0.376638847,0.753277695,,0.888888889,0.121376892,0.242753784,,0.888888889,0.121376892,0.242753784,,0.888888889,0.121376892,0.242753784
S2,1,"[0.8, 1.0]","[0, 1]",0.9,0.351416471,0.702832941,,0.966666667,0.351416471,0.702832941,,0.866666667,0.351416471,0.702832941,,1,0.333333333,1
S2,2,"[0, 0.2]","[0, 1]",0.5,0.098256945,0.196513889,,0.566666667,0.089097315,0.17819463,,0.566666667,0.126451502,0.252903005,,0.6,0.089097315,0.17819463
S2,2,"[0.2, 0.4]","[0, 1]",0.35,0.127180829,0.254361658,,0.413793103,0.184692114,0.369384228,,0.4,0.166828938,0.333657876,,0.3,0.114354814,0.228709628
S2,2,"[0.4, 0.6]","[0, 1]",0.65,0.251306301,0.502612602,,0.6,0.190628007,0.381256014,,0.566666667,0.143491572,0.286983145,,0.5,0.207193196,0.414386392
S2,2,"[0.6, 0.8]","[0, 1]",1,0.5,1,,1,0.5,1,,1,0.5,1,,1,0.5,1
S2,2,"[0.8, 1.0]","[0, 1]",0.8,0.207193196,0.414386392,,0.866666667,0.207193196,0.414386392,,0.958333333,0.222064169,0.444128339,,1,0.222064169,0.444128339
S2,3,"[0, 0.2]","[0, 1]",0.631578947,0.07201092,0.14402184,,0.62962963,0.086038992,0.172077984,,0.633333333,0.07693761,0.153875221,,0.6,0.073043153,0.146086306
S2,3,"[0.2, 0.4]","[0, 1]",0.8,0.467530802,0.467530802,,0.9,0.314579898,0.314579898,,0.9,0.276250978,0.276250978,,0.85,0.099538839,0.298616517
S2,3,"[0.4, 0.6]","[0, 1]",0.95,0.171716082,0.171716082,,0.827586207,0.414386392,0.414386392,,0.866666667,0.150169415,0.30033883,,0.95,0.365176721,0.365176721
S2,3,"[0.6, 0.8]","[0, 1]",1,1,1,,1,1,1,,1,1,1,,1,1,1
S2,3,"[0.8, 1.0]","[0, 1]",1,0.333333333,1,,1,0.5,1,,1,0.5,1,,1,0.5,1
S2,4,"[0, 0.2]","[0, 1]",1,0.186648765,0.186648765,,1,0.186648765,0.186648765,,1,0.118613574,0.237227149,,1,0.118613574,0.237227149
S2,4,"[0.2, 0.4]","[0, 1]",1,0.5,1,,1,0.5,1,,1,0.5,1,,1,0.5,1
S2,4,"[0.4, 0.6]","[0, 1]",1,0.30952196,0.619043921,,1,0.262264481,0.786793442,,1,0.30952196,0.619043921,,1,0.393396721,0.786793442
S2,4,"[0.6, 0.8]","[0, 1]",1,0.5,1,,1,0.5,1,,1,0.5,1,,1,0.5,1
S2,4,"[0.8, 1.0]","[0, 1]",1,0.5,1,,1,0.393396721,0.786793442,,1,0.333333333,1,,1,0.5,1
S2,5,"[0, 0.2]","[0, 1]",1,0.056952604,0.113905208,,1,0.030346853,0.060693706,,1,0.021227804,0.042455609,,1,0.056952604,0.113905208
S2,5,"[0.2, 0.4]","[0, 1]",0.9,0.147641574,0.442924721,,0.933333333,0.388413682,0.388413682,,1,0.206005033,0.412010067,,0.95,0.154386702,0.308773404
S2,5,"[0.4, 0.6]","[0, 1]",0.9,0.081519476,0.163038951,,1,0.207193196,0.414386392,,0.862068966,0.071787358,0.071787358,,0.894736842,0.071787358,0.071787358
S2,5,"[0.6, 0.8]","[0, 1]",1,0.266421995,0.53284399,,1,0.245952126,0.491904252,,1,0.5,1,,1,0.276466415,0.552932829
S2,5,"[0.8, 1.0]","[0, 1]",0.95,0.398210692,0.398210692,,0.866666667,0.398210692,0.398210692,,0.8,0.398210692,0.398210692,,0.95,0.172941703,0.345883405
S2,1,"[0, 0.2]","[0, 1]",1,0.333333333,1,,,,,,,,,,,,
S2,1,"[0.2, 0.4]","[0, 1]",0.95,0.261287503,0.522575007,,,,,,,,,,,,
S2,1,"[0.4, 0.6]","[0, 1]",1,0.242507655,0.727522966,,,,,,,,,,,,
S2,1,"[0.6, 0.8]","[0, 1]",0.888888889,0.121376892,0.242753784,,,,,,,,,,,,
S2,1,"[0.8, 1.0]","[0, 1]",1,0.333333333,1,,,,,,,,,,,,
S2,2,"[0, 0.2]","[0, 1]",0.6,0.089097315,0.17819463,,,,,,,,,,,,
S2,2,"[0.2, 0.4]","[0, 1]",0.3,0.114354814,0.228709628,,,,,,,,,,,,
S2,2,"[0.4, 0.6]","[0, 1]",0.5,0.207193196,0.414386392,,,,,,,,,,,,
S2,2,"[0.6, 0.8]","[0, 1]",1,0.5,1,,,,,,,,,,,,
S2,2,"[0.8, 1.0]","[0, 1]",1,0.222064169,0.444128339,,,,,,,,,,,,
S2,3,"[0, 0.2]","[0, 1]",0.6,0.073043153,0.146086306,,,,,,,,,,,,
S2,3,"[0.2, 0.4]","[0, 1]",0.85,0.099538839,0.298616517,,,,,,,,,,,,
S2,3,"[0.4, 0.6]","[0, 1]",0.95,0.365176721,0.365176721,,,,,,,,,,,,
S2,3,"[0.6, 0.8]","[0, 1]",1,1,1,,,,,,,,,,,,
S2,3,"[0.8, 1.0]","[0, 1]",1,0.5,1,,,,,,,,,,,,
S2,4,"[0, 0.2]","[0, 1]",1,0.118613574,0.237227149,,,,,,,,,,,,
S2,4,"[0.2, 0.4]","[0, 1]",1,0.5,1,,,,,,,,,,,,
S2,4,"[0.4, 0.6]","[0, 1]",1,0.393396721,0.786793442,,,,,,,,,,,,
S2,4,"[0.6, 0.8]","[0, 1]",1,0.5,1,,,,,,,,,,,,
S2,4,"[0.8, 1.0]","[0, 1]",1,0.5,1,,,,,,,,,,,,
S2,5,"[0, 0.2]","[0, 1]",1,0.056952604,0.113905208,,,,,,,,,,,,
S2,5,"[0.2, 0.4]","[0, 1]",0.95,0.154386702,0.308773404,,,,,,,,,,,,
S2,5,"[0.4, 0.6]","[0, 1]",0.894736842,0.071787358,0.071787358,,,,,,,,,,,,
S2,5,"[0.6, 0.8]","[0, 1]",1,0.276466415,0.552932829,,,,,,,,,,,,
S2,5,"[0.8, 1.0]","[0, 1]",0.95,0.172941703,0.345883405,,,,,,,,,,,,
S2,1,"[0, 0.2]","[0, 1]",1,0.5,1,,,,,,,,,,,,
S2,1,"[0.2, 0.4]","[0, 1]",1,0.5,1,,,,,,,,,,,,
S2,1,"[0.4, 0.6]","[0, 1]",1,0.333333333,1,,,,,,,,,,,,
S2,1,"[0.6, 0.8]","[0, 1]",0.888888889,0.121376892,0.242753784,,,,,,,,,,,,
S2,1,"[0.8, 1.0]","[0, 1]",0.866666667,0.351416471,0.702832941,,,,,,,,,,,,
S2,2,"[0, 0.2]","[0, 1]",0.566666667,0.126451502,0.252903005,,,,,,,,,,,,
S2,2,"[0.2, 0.4]","[0, 1]",0.4,0.166828938,0.333657876,,,,,,,,,,,,
S2,2,"[0.4, 0.6]","[0, 1]",0.566666667,0.143491572,0.286983145,,,,,,,,,,,,
S2,2,"[0.6, 0.8]","[0, 1]",1,0.5,1,,,,,,,,,,,,
S2,2,"[0.8, 1.0]","[0, 1]",0.958333333,0.222064169,0.444128339,,,,,,,,,,,,
S2,3,"[0, 0.2]","[0, 1]",0.633333333,0.07693761,0.153875221,,,,,,,,,,,,
S2,3,"[0.2, 0.4]","[0, 1]",0.9,0.276250978,0.276250978,,,,,,,,,,,,
S2,3,"[0.4, 0.6]","[0, 1]",0.866666667,0.150169415,0.30033883,,,,,,,,,,,,
S2,3,"[0.6, 0.8]","[0, 1]",1,1,1,,,,,,,,,,,,
S2,3,"[0.8, 1.0]","[0, 1]",1,0.5,1,,,,,,,,,,,,
S2,4,"[0, 0.2]","[0, 1]",1,0.118613574,0.237227149,,,,,,,,,,,,
S2,4,"[0.2, 0.4]","[0, 1]",1,0.5,1,,,,,,,,,,,,
S2,4,"[0.4, 0.6]","[0, 1]",1,0.30952196,0.619043921,,,,,,,,,,,,
S2,4,"[0.6, 0.8]","[0, 1]",1,0.5,1,,,,,,,,,,,,
S2,4,"[0.8, 1.0]","[0, 1]",1,0.333333333,1,,,,,,,,,,,,
S2,5,"[0, 0.2]","[0, 1]",1,0.021227804,0.042455609,,,,,,,,,,,,
S2,5,"[0.2, 0.4]","[0, 1]",1,0.206005033,0.412010067,,,,,,,,,,,,
S2,5,"[0.4, 0.6]","[0, 1]",0.862068966,0.071787358,0.071787358,,,,,,,,,,,,
S2,5,"[0.6, 0.8]","[0, 1]",1,0.5,1,,,,,,,,,,,,
S2,5,"[0.8, 1.0]","[0, 1]",0.8,0.398210692,0.398210692,,,,,,,,,,,,
S2,1,"[0, 0.2]","[0, 1]",1,1,1,,,,,,,,,,,,
S2,1,"[0.2, 0.4]","[0, 1]",1,1,1,,,,,,,,,,,,
S2,1,"[0.4, 0.6]","[0, 1]",1,1,1,,,,,,,,,,,,
S2,1,"[0.6, 0.8]","[0, 1]",0.888888889,0.376638847,0.753277695,,,,,,,,,,,,
S2,1,"[0.8, 1.0]","[0, 1]",1,1,1,,,,,,,,,,,,
S2,2,"[0, 0.2]","[0, 1]",0.5,0.139490049,0.278980098,,,,,,,,,,,,
S2,2,"[0.2, 0.4]","[0, 1]",0.4,0.419160885,0.419160885,,,,,,,,,,,,
S2,2,"[0.4, 0.6]","[0, 1]",0.6,0.143491572,0.286983145,,,,,,,,,,,,
S2,2,"[0.6, 0.8]","[0, 1]",1,1,1,,,,,,,,,,,,
S2,2,"[0.8, 1.0]","[0, 1]",0.857142857,0.18404074,0.18404074,,,,,,,,,,,,
