Path,Edge,Graph,Cluster,Total,Jac,Precision,Recall,CC,avgConf,OriNum
"Samples\AvailableSamples\S5\1_2\P[0.4, 0.6]_Q[0, 1].json",0.008976221,0.004985094,0.171542406,0.185503721,1,0.645561159,0.645561159,0.337521487,0.568016341,736
"Samples\AvailableSamples\S5\1_4\P[0.4, 0.6]_Q[0, 1].json",0.008975744,0.004985809,0.156330585,0.170292139,1,0.226416606,0.226416606,0.294091014,0.576123498,893
"Samples\AvailableSamples\S5\1_5\P[0.4, 0.6]_Q[0, 1].json",0.005984068,0.005984783,0.209439516,0.221408367,1,0.48996849,0.244984245,-0.809826401,0.458214884,1074
"Samples\AvailableSamples\S5\1_6\P[0.4, 0.6]_Q[0, 1].json",0.012965918,0.022935867,0.589425802,0.625327587,1,0.270617581,0.270617581,0.267874786,0.525181884,976
"Samples\AvailableSamples\S5\1_7\P[0.4, 0.6]_Q[0, 1].json",0.008975983,0.010968447,0.317791224,0.337735653,1,0.598957597,0.598957597,0.100923181,0.647240479,816
"Samples\AvailableSamples\S5\2_4\P[0.4, 0.6]_Q[0, 1].json",0.012965679,0.025928259,0.948247194,0.987141132,1,0.402593878,0.402593878,0.319601018,0.491991464,405
"Samples\AvailableSamples\S5\2_5\P[0.4, 0.6]_Q[0, 1].json",0.006981134,0.003988266,0.154587507,0.165556908,1,0.352667699,0.352667699,0.163567112,0.601294315,586
"Samples\AvailableSamples\S5\2_6\P[0.4, 0.6]_Q[0, 1].json",0.005984545,0.000997305,0.037899017,0.044880867,1,0.264384526,0.264384526,0.451321183,0.52579662,488
"Samples\AvailableSamples\S5\2_7\P[0.4, 0.6]_Q[0, 1].json",0.004986286,0.003989458,0.15757823,0.166553974,1,0.468921132,0.468921132,0.445560676,0.46337874,328
"Samples\AvailableSamples\S5\4_5\P[0.4, 0.6]_Q[0, 1].json",0.003989458,0.001994848,0.078789473,0.084773779,0.9,0.313546404,0.313546404,0.358308806,0.757763244,743
"Samples\AvailableSamples\S5\4_6\P[0.4, 0.6]_Q[0, 1].json",0.008975029,0.015954971,0.473425865,0.498355865,1,0.255913448,0.255913448,0.403490405,0.609687842,645
"Samples\AvailableSamples\S5\4_7\P[0.4, 0.6]_Q[0, 1].json",0.005983591,0.003990889,0.228387594,0.238362074,1,0.497621285,0.497621285,0.167428363,0.598246033,485
"Samples\AvailableSamples\S5\5_6\P[0.4, 0.6]_Q[0, 1].json",0.00398922,0.001994133,0.078789711,0.084773064,1,0.377976018,0.377976018,0.690257084,0.602290005,826
"Samples\AvailableSamples\S5\5_7\P[0.4, 0.6]_Q[0, 1].json",0.001994371,0,0.039893627,0.041887999,0.9,0.674862146,0.674862146,0.201650741,0.644024672,666
"Samples\AvailableSamples\S5\6_7\P[0.4, 0.6]_Q[0, 1].json",0.006981134,0.00797677,0.235371828,0.250329733,1,0.592490676,0.592490676,0.146129747,0.52972575,568
SamNum,10,min_support,0.3,gamma,0.8,avgRecall,0.41250096,,,
"Samples\AvailableSamples\S5\1_2\P[0.4, 0.6]_Q[0, 1].json",0.018955469,0.0388906,0.504620075,0.562466145,1,0.324486867,0.324486867,0.29755825,0.476445211,736
"Samples\AvailableSamples\S5\1_4\P[0.4, 0.6]_Q[0, 1].json",0.009973049,0.004986048,0.080581903,0.095541,1,0.221464935,0.221464935,0.495704278,0.485722878,893
"Samples\AvailableSamples\S5\1_5\P[0.4, 0.6]_Q[0, 1].json",0.017952204,0.034905195,0.605381966,0.658239365,1,0.348255875,0.174127937,-0.815005533,0.388645236,1074
"Samples\AvailableSamples\S5\1_6\P[0.4, 0.6]_Q[0, 1].json",0.038895369,0.171530485,1.937121391,2.147547245,1,0.712830966,0.712830966,0.293936182,0.54472222,976
"Samples\AvailableSamples\S5\1_7\P[0.4, 0.6]_Q[0, 1].json",0.014959812,0.02892065,0.319763899,0.363644361,1,0.457478832,0.457478832,0.097056734,0.541489297,816
"Samples\AvailableSamples\S5\2_4\P[0.4, 0.6]_Q[0, 1].json",0.007978678,0.005983353,0.156581879,0.170543909,1,0.395687325,0.395687325,0.304836816,0.469318499,405
"Samples\AvailableSamples\S5\2_5\P[0.4, 0.6]_Q[0, 1].json",0.009973288,0.00398922,0.082778692,0.096741199,1,0.451357547,0.451357547,0.457137583,0.537258352,586
"Samples\AvailableSamples\S5\2_6\P[0.4, 0.6]_Q[0, 1].json",0.009972811,0.01296401,0.161569357,0.184506178,1,0.39155714,0.39155714,0.543352753,0.424508263,488
"Samples\AvailableSamples\S5\2_7\P[0.4, 0.6]_Q[0, 1].json",0.007978678,0.001994848,0.079786777,0.089760303,1,0.545571367,0.545571367,0.496320096,0.681081549,328
"Samples\AvailableSamples\S5\4_5\P[0.4, 0.6]_Q[0, 1].json",0.00398922,0.001994133,0.079787016,0.085770369,0.9,0.405654994,0.405654994,0.765279726,0.557101295,743
"Samples\AvailableSamples\S5\4_6\P[0.4, 0.6]_Q[0, 1].json",0.007978439,0.001994848,0.081781864,0.091755152,1,0.294330157,0.294330157,0.574653859,0.501692549,645
